Wort, POS, Count, TAG, Lexikalische Vielfalt
winterpause, NOUN, 1, NN, 0.00132732
bahrenfeld, PROPN, 3, NE, 0.00398195
25.07.2019., NOUN, 1, NN, 0.00132732
1200, NUM, 1, CARD, 0.00132732
brandstifter, NOUN, 4, NN, 0.00530926
hsv, PROPN, 51, NE, 0.06769312
thw, NOUN, 6, NE, 0.00796390
betäubt, VERB, 1, VVPP, 0.00132732
und, CCONJ, 1365, KON, 1.81178657
hauptbahnhof, NOUN, 19, NN, 0.02521901
waldbränden, NOUN, 2, NN, 0.00265463
89, NUM, 2, CARD, 0.00265463
sollen, AUX, 73, VMFIN, 0.09689408
sportvereine, NOUN, 2, NN, 0.00265463
wichtige, ADJ, 43, ADJA, 0.05707460
sonntagmorgen, NOUN, 1, NN, 0.00132732
39, NUM, 4, CARD, 0.00530926
stehlen, VERB, 1, VVINF, 0.00132732
deine, DET, 1, PPOSAT, 0.00132732
home, PROPN, 2, NE, 0.00265463
vorgarten, NOUN, 2, NN, 0.00265463
reparieren, VERB, 5, VVFIN, 0.00663658
niemand, PRON, 6, PIS, 0.00796390
31., ADV, 1, PTKVZ, 0.00132732
neuer, ADJ, 23, ADJA, 0.03052827
fällt, VERB, 2, VVFIN, 0.00265463
beispiel, NOUN, 449, NN, 0.59596496
fuhlsbüttel, PROPN, 1, NE, 0.00132732
10.02.2020., NOUN, 1, ADJA, 0.00132732
indianer, NOUN, 4, NN, 0.00530926
schweden, PROPN, 9, NE, 0.01194585
440, NUM, 1, CARD, 0.00132732
spanien, PROPN, 2, NE, 0.00265463
malchin, PROPN, 1, NE, 0.00132732
hamburg-st, PROPN, 1, NE, 0.00132732
30.07.2019., NOUN, 1, NN, 0.00132732
ziehe, VERB, 1, VVFIN, 0.00132732
vorher, ADV, 9, ADV, 0.01194585
gelegt, VERB, 5, VVPP, 0.00663658
hamburg-eidelstedt, PROPN, 1, NE, 0.00132732
verhindern, VERB, 1, VVINF, 0.00132732
der, DET, 2573, ART, 3.41518450
flüge, PROPN, 1, NE, 0.00132732
08.08.2019., ADJ, 1, ADJA, 0.00132732
schwer, ADV, 106, ADJD, 0.14069551
gucken, VERB, 1, VVFIN, 0.00132732
grundschule, NOUN, 6, NN, 0.00796390
100, NUM, 11, CARD, 0.01460048
virus, NOUN, 6, NN, 0.00796390
geesthacht, NOUN, 1, NN, 0.00132732
gestiegen, VERB, 4, VVPP, 0.00530926
selber, ADV, 1, ADV, 0.00132732
netzen, NOUN, 2, NN, 0.00265463
mutter, NOUN, 21, NN, 0.02787364
ordnung, NOUN, 1, NN, 0.00132732
achtelfinale, NOUN, 4, NN, 0.00530926
retten, VERB, 8, VVINF, 0.01061853
sietas, PROPN, 1, NE, 0.00132732
deswegen, ADV, 3, PROAV, 0.00398195
etwas, PRON, 1, PIAT, 0.00132732
tiger, NOUN, 6, NN, 0.00796390
brunsbüttel, PROPN, 3, NE, 0.00398195
philip, PROPN, 4, NE, 0.00530926
04.12.2019., ADJ, 1, ADJA, 0.00132732
töten, NOUN, 1, NN, 0.00132732
stellingen, NOUN, 2, NN, 0.00265463
gründe, NOUN, 1, NN, 0.00132732
reisen, NOUN, 3, NN, 0.00398195
fahrgeschäft, NOUN, 3, NN, 0.00398195
verletzte, NOUN, 13, NN, 0.01725511
bückeburg, PROPN, 1, NE, 0.00132732
behalten, VERB, 3, VVINF, 0.00398195
flüthmann, PROPN, 3, NE, 0.00398195
ddieses, DET, 1, NE, 0.00132732
17.10.2019., NOUN, 1, NN, 0.00132732
boat, PROPN, 6, NE, 0.00796390
schmadtke, PROPN, 4, NE, 0.00530926
meine, DET, 9, PPOSAT, 0.01194585
aufgabe, NOUN, 2, NN, 0.00265463
dich, PRON, 1, PPER, 0.00132732
203., X, 1, NN, 0.00132732
mitte, NOUN, 3, NN, 0.00398195
polizeieinsatz, NOUN, 41, NN, 0.05441996
sachsen, PROPN, 3, NE, 0.00398195
angefasst, VERB, 1, VVPP, 0.00132732
motorrad, NOUN, 22, NN, 0.02920096
feuerwehrmann, NOUN, 3, NN, 0.00398195
indigo, ADV, 1, NE, 0.00132732
22.02.2019., ADJ, 1, ADJA, 0.00132732
tennistunier, NOUN, 2, NN, 0.00265463
300.00, NUM, 1, CARD, 0.00132732
bin, AUX, 3, VAFIN, 0.00398195
madsen, PROPN, 5, NE, 0.00663658
güterzug, NOUN, 1, NN, 0.00132732
alexander, PROPN, 27, NE, 0.03583754
maschine, NOUN, 9, NN, 0.01194585
grönefeld, NOUN, 1, NE, 0.00132732
innenministern, NOUN, 1, NN, 0.00132732
hildesheim, PROPN, 14, NE, 0.01858243
angesprochen, VERB, 1, VVPP, 0.00132732
krankenhäusern, NOUN, 2, NN, 0.00265463
17.07.2019., NOUN, 1, NN, 0.00132732
renoviert, VERB, 2, VVPP, 0.00265463
einstürzen, VERB, 3, VVINF, 0.00398195
gründen, VERB, 1, VVINF, 0.00132732
weggelaufen, VERB, 8, VVPP, 0.01061853
celle, PROPN, 3, NE, 0.00398195
trockene, ADJ, 1, ADJA, 0.00132732
kaimauer, NOUN, 8, NN, 0.01061853
wenn, SCONJ, 4, KOUS, 0.00530926
11., ADV, 1, PTKVZ, 0.00132732
antwerpen, PROPN, 1, NE, 0.00132732
zuletzt, ADV, 2, ADV, 0.00265463
sprengen, VERB, 1, VVINF, 0.00132732
bank, NOUN, 1, NE, 0.00132732
sprengstoff, NOUN, 9, NN, 0.01194585
eis, NOUN, 4, NN, 0.00530926
13.45, NUM, 1, CARD, 0.00132732
corona-partys, NOUN, 1, NN, 0.00132732
mehr, DET, 1, ADV, 0.00132732
selbstvertrauen, NOUN, 1, NN, 0.00132732
geeinigt, VERB, 1, VVPP, 0.00132732
koll, PROPN, 3, NE, 0.00398195
verschiedenen, ADJ, 9, ADJA, 0.01194585
bremsen, NOUN, 1, NN, 0.00132732
06.11.2019., NOUN, 1, ADJA, 0.00132732
samstag, NOUN, 2, NN, 0.00265463
niesanfall, NOUN, 3, NN, 0.00398195
zverev, PROPN, 16, NE, 0.02123706
theateraufführungen, NOUN, 1, NN, 0.00132732
eine, DET, 783, ART, 1.03928856
tschentscher, PROPN, 19, NE, 0.02521901
werft, NOUN, 1, NE, 0.00132732
150, NUM, 4, CARD, 0.00530926
messe, NOUN, 53, NN, 0.07034776
15.04.2020., ADJ, 1, ADJA, 0.00132732
fehlern, NOUN, 2, NN, 0.00265463
eure, DET, 2, PPOSAT, 0.00265463
krankenhaus, NOUN, 68, NN, 0.09025750
wieso, ADV, 4, PWAV, 0.00530926
außer, ADP, 1, APPR, 0.00132732
08.04.2019., ADJ, 1, ADJA, 0.00132732
kinderwagen, NOUN, 3, NN, 0.00398195
wegräumen, VERB, 2, VVINF, 0.00265463
atmen, VERB, 3, VVINF, 0.00398195
einige, DET, 65, PIAT, 0.08627555
schnell, ADV, 34, ADJD, 0.04512875
tennisspiel, NOUN, 9, NN, 0.01194585
hanstedt, PROPN, 1, NE, 0.00132732
vergangenen, ADJ, 13, ADJA, 0.01725511
weiter, ADV, 9, ADV, 0.01194585
109., NUM, 1, NN, 0.00132732
flusskreuzfahrtschiff, NOUN, 1, NN, 0.00132732
am, PART, 1, PTKA, 0.00132732
bundesverdienstkreuzbekommen, NOUN, 1, NN, 0.00132732
musicals, NOUN, 1, NN, 0.00132732
98, NUM, 1, CARD, 0.00132732
später, ADV, 13, ADJD, 0.01725511
älteste, ADJ, 1, ADJA, 0.00132732
krebs, NOUN, 6, NN, 0.00796390
berlin, PROPN, 19, NE, 0.02521901
silvesternacht, NOUN, 1, NN, 0.00132732
leichter, ADJ, 19, ADJA, 0.02521901
schwaförden, PROPN, 2, NE, 0.00265463
gasleitung, NOUN, 4, NN, 0.00530926
freiwilligen, ADJ, 1, NN, 0.00132732
schweiz, PROPN, 1, NE, 0.00132732
frühjahr, NOUN, 3, NN, 0.00398195
explodiert, VERB, 8, VVPP, 0.01061853
ansprechbar, ADV, 1, ADJD, 0.00132732
wichtigste, ADJ, 5, ADJA, 0.00663658
northeim, PROPN, 5, NE, 0.00663658
sicher, ADV, 1, ADJD, 0.00132732
passiert, VERB, 6, VVFIN, 0.00796390
stehen, VERB, 6, VVINF, 0.00796390
toten, ADJ, 25, ADJA, 0.03318290
2017., PROPN, 1, CARD, 0.00132732
rucksack, NOUN, 1, NN, 0.00132732
tunneln, NOUN, 1, NN, 0.00132732
uke, PROPN, 4, NE, 0.00530926
grund, NOUN, 7, NN, 0.00929121
schaufenster, NOUN, 5, NN, 0.00663658
beleidigt, VERB, 1, VVPP, 0.00132732
kaputte, ADJ, 8, ADJA, 0.01061853
06.03.2019., ADJ, 1, ADJA, 0.00132732
allen, DET, 4, PIAT, 0.00530926
man, PRON, 2, PIS, 0.00265463
straftäter, NOUN, 8, NN, 0.01061853
104., NUM, 1, CARD, 0.00132732
fahrerin, NOUN, 6, NN, 0.00796390
lingen, PROPN, 1, NE, 0.00132732
sterben, VERB, 3, VVINF, 0.00398195
kaputtgemacht, VERB, 3, VVPP, 0.00398195
passagiere, NOUN, 2, NN, 0.00265463
terrorist, NOUN, 1, NN, 0.00132732
süddeutschland, PROPN, 2, NE, 0.00265463
steine, NOUN, 10, NN, 0.01327316
gesundheitsminister, NOUN, 4, NN, 0.00530926
fachleute, NOUN, 192, NN, 0.25484470
möbelhaus, NOUN, 2, NN, 0.00265463
wollte, AUX, 52, VMFIN, 0.06902044
züge, NOUN, 35, NN, 0.04645607
hamweddel, NOUN, 1, NE, 0.00132732
autotransporter, NOUN, 3, NN, 0.00398195
schlimmer, ADV, 1, ADJD, 0.00132732
lernen, VERB, 2, VVFIN, 0.00265463
besten, ADJ, 21, ADJA, 0.02787364
20., ADV, 4, ADJA, 0.00530926
testen, VERB, 3, VVFIN, 0.00398195
teile, NOUN, 22, NN, 0.02920096
essen, NOUN, 7, NN, 0.00929121
erstochen, VERB, 3, VVPP, 0.00398195
hells, ADJ, 1, ADJA, 0.00132732
09.03.2020., PROPN, 1, ADJA, 0.00132732
weltmeister, NOUN, 7, NN, 0.00929121
gemacht, VERB, 97, VVPP, 0.12874967
42, NUM, 1, CARD, 0.00132732
ansteckend, ADV, 10, ADJD, 0.01327316
bahnübergang, NOUN, 19, NN, 0.02521901
reedereien, NOUN, 2, NN, 0.00265463
als, SCONJ, 2, KOKOM, 0.00265463
19., ADV, 1, ADJA, 0.00132732
bergwerk, NOUN, 4, NN, 0.00530926
milliarden, NOUN, 2, NN, 0.00265463
zetel, PROPN, 3, NE, 0.00398195
baum, NOUN, 27, NN, 0.03583754
halbe, ADJ, 3, ADJA, 0.00398195
paderborn, PROPN, 1, NE, 0.00132732
bretschneider, PROPN, 16, NE, 0.02123706
kies, PROPN, 1, NE, 0.00132732
schnelsen, NOUN, 1, NE, 0.00132732
leipzig, PROPN, 3, NE, 0.00398195
kies, NOUN, 1, NE, 0.00132732
regionen, NOUN, 2, NN, 0.00265463
einbrechen, VERB, 1, VVINF, 0.00132732
gebe, VERB, 2, VVFIN, 0.00265463
untersuchung, NOUN, 2, NN, 0.00265463
versteckt, VERB, 7, VVPP, 0.00929121
stark, ADV, 9, ADJD, 0.01194585
gemerkt, VERB, 1, VVPP, 0.00132732
bester, ADJ, 1, ADJA, 0.00132732
freibadclique, NOUN, 1, NE, 0.00132732
sparen, VERB, 5, VVINF, 0.00663658
24.09.2019., PROPN, 1, NE, 0.00132732
28.03.2019., PROPN, 1, NE, 0.00132732
fischern, NOUN, 1, NN, 0.00132732
nordrhein-westfalen, PROPN, 5, NE, 0.00663658
feiert, VERB, 1, VVFIN, 0.00132732
einfach, ADV, 1, ADV, 0.00132732
dammfleth, PROPN, 4, NE, 0.00530926
kostet, VERB, 11, VVFIN, 0.01460048
elmar, PROPN, 3, NE, 0.00398195
nie, ADV, 16, ADV, 0.02123706
schlachthof, NOUN, 10, NN, 0.01327316
mann, NOUN, 945, NN, 1.25431378
starke, ADJ, 4, ADJA, 0.00530926
fach∙leute, NOUN, 3, NN, 0.00398195
regierungschef, NOUN, 1, NN, 0.00132732
freunde, NOUN, 1, NN, 0.00132732
24., ADV, 2, PTKVZ, 0.00265463
trinken, VERB, 7, VVINF, 0.00929121
bobo, PROPN, 3, NE, 0.00398195
33., ADJ, 1, ADJA, 0.00132732
leistungen, NOUN, 2, NN, 0.00265463
sport‑verein, PROPN, 1, NN, 0.00132732
verfangen, VERB, 1, VVPP, 0.00132732
tierärzte, NOUN, 2, NN, 0.00265463
atlantik, PROPN, 2, NE, 0.00265463
steilen, ADJ, 1, ADJA, 0.00132732
26.07.2019., ADJ, 1, ADJA, 0.00132732
karl-may-spiele, NOUN, 4, NN, 0.00530926
kämpfer, PROPN, 3, NE, 0.00398195
durften, AUX, 22, VMFIN, 0.02920096
heide, PROPN, 1, NN, 0.00132732
zoll, NOUN, 17, NN, 0.02256437
esc, PROPN, 6, NE, 0.00796390
07.01.2019., ADJ, 1, ADJA, 0.00132732
wann, SCONJ, 4, PWAV, 0.00530926
eifersüchtig, ADV, 1, ADJD, 0.00132732
gerade, ADV, 3, ADV, 0.00398195
ehrenamt, NOUN, 3, NN, 0.00398195
verbot, NOUN, 6, NN, 0.00796390
spielplätze, NOUN, 1, NN, 0.00132732
marokko, PROPN, 2, NE, 0.00265463
treffen, VERB, 12, VVFIN, 0.01592779
alten, ADJ, 13, ADJA, 0.01725511
a7., NOUN, 4, NN, 0.00530926
20.03.2020., ADJ, 1, ADJA, 0.00132732
algen, NOUN, 3, NN, 0.00398195
fahrendes, ADJ, 1, ADJA, 0.00132732
ohren, NOUN, 1, NN, 0.00132732
afd., NOUN, 1, NE, 0.00132732
25.06.2019., PROPN, 1, ADJA, 0.00132732
18.10.2019., NOUN, 1, NN, 0.00132732
gefühl, NOUN, 1, NN, 0.00132732
vergrößern, VERB, 1, VVFIN, 0.00132732
baden, VERB, 1, VVINF, 0.00132732
schuld, NOUN, 1, NN, 0.00132732
sammeln, VERB, 3, VVFIN, 0.00398195
fabian, PROPN, 2, NE, 0.00265463
trauerfeier, NOUN, 8, NN, 0.01061853
lehrer, NOUN, 8, NN, 0.01061853
suchen, VERB, 1, VVINF, 0.00132732
eigentlich, ADV, 3, ADV, 0.00398195
fluss, NOUN, 18, NN, 0.02389169
freibad, NOUN, 9, NN, 0.01194585
sportschau, NOUN, 1, NE, 0.00132732
technischer, ADJ, 1, ADJA, 0.00132732
volkswagen, PROPN, 4, NE, 0.00530926
mögen, AUX, 2, VMFIN, 0.00265463
28.02.2020., PROPN, 1, ADJA, 0.00132732
lösen, VERB, 2, VVINF, 0.00265463
überschwemmung, NOUN, 1, NN, 0.00132732
benefiz-konzert, NOUN, 3, NN, 0.00398195
klettert, VERB, 2, VVFIN, 0.00265463
schauspieler, NOUN, 11, NN, 0.01460048
konzerthaus, NOUN, 2, NN, 0.00265463
trocken, ADV, 4, ADJD, 0.00530926
schlimmer, ADJ, 24, ADJA, 0.03185559
hoffen, VERB, 5, VVFIN, 0.00663658
hybrid-technik, NOUN, 1, NE, 0.00132732
fußball-liga, NOUN, 1, NN, 0.00132732
männer-mannschaften, NOUN, 1, NN, 0.00132732
waldbrände, NOUN, 3, NN, 0.00398195
sportart, NOUN, 2, NN, 0.00265463
gesunde, ADJ, 1, ADJA, 0.00132732
aurich, PROPN, 3, NE, 0.00398195
sammeltaxis, NOUN, 6, NN, 0.00796390
gründer, NOUN, 2, NN, 0.00265463
beschädigte, ADJ, 1, ADJA, 0.00132732
dorf, NOUN, 2, NN, 0.00265463
hinter, ADP, 5, APPR, 0.00663658
160, NUM, 1, CARD, 0.00132732
30.03.2020., NOUN, 1, ADJA, 0.00132732
blinden, ADJ, 3, ADJA, 0.00398195
rendsburg, PROPN, 11, NE, 0.01460048
angesehen, VERB, 1, VVPP, 0.00132732
schöner, ADV, 2, ADJD, 0.00265463
ansteckende, ADJ, 1, ADJA, 0.00132732
schulen, NOUN, 25, NN, 0.03318290
farven, NOUN, 1, NN, 0.00132732
geben, VERB, 3, VVFIN, 0.00398195
bayer, PROPN, 2, NE, 0.00265463
salpetersäure, NOUN, 5, NN, 0.00663658
bald, ADV, 56, ADV, 0.07432971
weniger, PRON, 2, PIS, 0.00265463
hauptstadt, NOUN, 36, NN, 0.04778338
noch, ADV, 119, ADV, 0.15795062
brennen, VERB, 2, VVINF, 0.00265463
holtby, PROPN, 6, NE, 0.00796390
bekommt, VERB, 37, VVFIN, 0.04911070
erwin, PROPN, 7, NE, 0.00929121
kommen, VERB, 9, VVINF, 0.01194585
monaten, NOUN, 1, NN, 0.00132732
gesprengt, VERB, 9, VVPP, 0.01194585
musikgruppe, NOUN, 5, NN, 0.00663658
maschseefest, NOUN, 5, NN, 0.00663658
wurde, AUX, 168, VAFIN, 0.22298912
löschen, NOUN, 14, NN, 0.01858243
eppendorf, PROPN, 2, NE, 0.00265463
stände, NOUN, 2, NN, 0.00265463
gesund, ADV, 2, ADJD, 0.00265463
angriff, NOUN, 29, NN, 0.03849217
gegangen, VERB, 23, VVPP, 0.03052827
entlässt, VERB, 10, VVFIN, 0.01327316
08.07.2019., NOUN, 1, NN, 0.00132732
hält, VERB, 3, VVFIN, 0.00398195
stade, PROPN, 7, NE, 0.00929121
gekauft, VERB, 4, VVPP, 0.00530926
untersuchen, VERB, 1, VVINF, 0.00132732
funken, NOUN, 1, NN, 0.00132732
serbien, PROPN, 2, NE, 0.00265463
es, PRON, 148, PPER, 0.19644279
start, NOUN, 2, NN, 0.00265463
allem, PRON, 1, PIS, 0.00132732
stinkende, ADJ, 2, ADJA, 0.00265463
gras, NOUN, 1, NN, 0.00132732
gehalt, NOUN, 1, NN, 0.00132732
fegebank, PROPN, 6, NE, 0.00796390
hammer, NOUN, 1, NN, 0.00132732
126, NUM, 1, CARD, 0.00132732
meisterschaft, NOUN, 6, NN, 0.00796390
600, NUM, 1, CARD, 0.00132732
staat, NOUN, 14, NN, 0.01858243
hängen, VERB, 2, VVINF, 0.00265463
oohh, VERB, 1, NE, 0.00132732
station, NOUN, 3, NN, 0.00398195
kategorien, NOUN, 3, NN, 0.00398195
mit, ADP, 6, PTKVZ, 0.00796390
etwas, ADV, 1, ADV, 0.00132732
entscheidungen, NOUN, 3, NN, 0.00398195
komisch, ADV, 1, ADJD, 0.00132732
handballspieler, NOUN, 3, NN, 0.00398195
kabel, NOUN, 3, NN, 0.00398195
38, NUM, 1, CARD, 0.00132732
beachvolleyball, NOUN, 1, NE, 0.00132732
nehmen, VERB, 1, VVFIN, 0.00132732
verteilt, VERB, 3, VVPP, 0.00398195
verbrecherbande, NOUN, 2, NN, 0.00265463
fahrzeuge, NOUN, 9, NN, 0.01194585
naturschutzgebiet, NOUN, 1, NN, 0.00132732
freuen, VERB, 10, VVFIN, 0.01327316
sperrung, NOUN, 21, NN, 0.02787364
eröffnet, VERB, 5, VVPP, 0.00663658
dhb, PROPN, 4, NE, 0.00530926
jahrelang, ADV, 1, ADJD, 0.00132732
pfleger, NOUN, 5, NN, 0.00663658
musikklubs, NOUN, 1, NN, 0.00132732
leer, PROPN, 5, NE, 0.00663658
hoher, ADJ, 5, ADJA, 0.00663658
lufthansa, PROPN, 3, NE, 0.00398195
08.01.2020., PROPN, 1, ADJA, 0.00132732
max, PROPN, 2, NE, 0.00265463
leben, VERB, 19, VVFIN, 0.02521901
hannes, PROPN, 2, NE, 0.00265463
peine, PROPN, 2, NE, 0.00265463
genau, ADV, 4, ADJD, 0.00530926
schäfer, NOUN, 1, NE, 0.00132732
dieb, NOUN, 11, NN, 0.01460048
18, NUM, 9, CARD, 0.01194585
autofahrerin, NOUN, 4, NN, 0.00530926
hatten.keinen, ADJ, 1, ADJA, 0.00132732
hörfilmpreise, NOUN, 2, NN, 0.00265463
kohlekraftwerk, NOUN, 6, NN, 0.00796390
11.12.2018., NOUN, 1, NN, 0.00132732
kurzarbeit, NOUN, 3, NN, 0.00398195
14.12.2018., NOUN, 1, ADJA, 0.00132732
montagmorgen, NOUN, 9, NN, 0.01194585
schlimm, ADV, 6, ADJD, 0.00796390
tennis, NOUN, 3, NN, 0.00398195
ardern, VERB, 1, NE, 0.00132732
tobias, PROPN, 7, NE, 0.00929121
durchsuchungen, NOUN, 1, NN, 0.00132732
internet, NOUN, 6, NN, 0.00796390
steile, ADJ, 1, ADJA, 0.00132732
fest, ADV, 9, PTKVZ, 0.01194585
oman, PROPN, 2, NE, 0.00265463
motorrad-unfall, PROPN, 1, NE, 0.00132732
wünschen, VERB, 1, VVFIN, 0.00132732
kreistag, NOUN, 2, NN, 0.00265463
a380., NOUN, 1, NN, 0.00132732
bedeckt, ADV, 1, ADJD, 0.00132732
kindern, NOUN, 6, NN, 0.00796390
erfolgreich, ADV, 4, ADJD, 0.00530926
theater, NOUN, 5, NN, 0.00663658
filmen, NOUN, 2, NN, 0.00265463
töten, VERB, 6, VVINF, 0.00796390
othmarschen, PROPN, 1, NE, 0.00132732
schmuck, NOUN, 1, NN, 0.00132732
die, DET, 3207, ART, 4.25670295
sind, AUX, 680, VAFIN, 0.90257499
pavel, PROPN, 8, NE, 0.01061853
absagen, NOUN, 1, NN, 0.00132732
theaterstück, NOUN, 2, NN, 0.00265463
stehlen, VERB, 2, VVFIN, 0.00265463
waldbrand, NOUN, 4, NN, 0.00530926
wurmberg, PROPN, 6, NE, 0.00796390
28., ADJ, 2, ADJA, 0.00265463
27.09.2019., ADJ, 1, ADJA, 0.00132732
