Wort, POS, Count, TAG, Lexikalische Vielfalt
mecklenburgische, ADJ, 1, ADJA, 0.00132732
kamera, NOUN, 5, NN, 0.00663658
festnehmen, VERB, 5, VVINF, 0.00663658
glas, NOUN, 1, NN, 0.00132732
fernsehsendungen, NOUN, 2, NN, 0.00265463
kabel, NOUN, 3, NN, 0.00398195
flugplatz, NOUN, 1, NN, 0.00132732
duell, NOUN, 1, NN, 0.00132732
kopierer, NOUN, 4, NN, 0.00530926
19.12.2019., NOUN, 1, NN, 0.00132732
hauptstraße, NOUN, 1, NE, 0.00132732
elmshorn, PROPN, 4, NE, 0.00530926
leistung, NOUN, 1, NN, 0.00132732
berlin, PROPN, 19, NE, 0.02521901
nordosten, NOUN, 2, NN, 0.00265463
baustoff, NOUN, 3, NN, 0.00398195
tierärzte, NOUN, 2, NN, 0.00265463
hinweisen, NOUN, 1, NN, 0.00132732
lagerfeld, PROPN, 9, NE, 0.01194585
kabeln, NOUN, 1, NN, 0.00132732
25.01.2019., PROPN, 1, NE, 0.00132732
verletzen, VERB, 1, VVINF, 0.00132732
109., NUM, 1, CARD, 0.00132732
marco, PROPN, 1, NE, 0.00132732
kebschull, PROPN, 3, NE, 0.00398195
gefährlich, ADV, 61, ADJD, 0.08096629
indianer, NOUN, 4, NN, 0.00530926
studenten, NOUN, 1, NN, 0.00132732
kriminell, ADV, 1, ADJD, 0.00132732
neuenkirchen-vörden, PROPN, 2, NE, 0.00265463
verschicken, VERB, 1, VVINF, 0.00132732
sperrmüll, NOUN, 6, NN, 0.00796390
seawolves, NOUN, 1, NN, 0.00132732
trotz, ADP, 2, APPR, 0.00265463
munster, PROPN, 2, NN, 0.00265463
verbotenen, ADJ, 2, ADJA, 0.00265463
vorfahrt, NOUN, 1, NN, 0.00132732
verbrannt, VERB, 1, VVPP, 0.00132732
heimen, NOUN, 3, NN, 0.00398195
politikerin, NOUN, 14, NN, 0.01858243
28., ADJ, 2, ADJA, 0.00265463
test, NOUN, 7, NN, 0.00929121
gerne, ADV, 2, ADV, 0.00265463
gelegt, VERB, 5, VVPP, 0.00663658
bergen, PROPN, 2, NE, 0.00265463
auf, ADP, 557, APPR, 0.73931510
onnen, PROPN, 6, NE, 0.00796390
rollstuhl, NOUN, 1, NN, 0.00132732
foto, NOUN, 3, NN, 0.00398195
neustrelitz, PROPN, 4, NE, 0.00530926
sellering, PROPN, 7, NE, 0.00929121
stromschlag, NOUN, 1, NN, 0.00132732
tote, NOUN, 8, NN, 0.01061853
verschwundene, ADJ, 1, ADJA, 0.00132732
sport-verein, NOUN, 8, NN, 0.01061853
frauenfußball, NOUN, 1, NN, 0.00132732
hühnerstall, NOUN, 4, NN, 0.00530926
überraschend, ADV, 2, ADJD, 0.00265463
chefs, NOUN, 4, NN, 0.00530926
nürnberg, PROPN, 3, NE, 0.00398195
gebracht, VERB, 28, VVPP, 0.03716485
benefiz-konzert, NOUN, 3, NN, 0.00398195
sportarten, NOUN, 1, NN, 0.00132732
schwaförden, PROPN, 2, NE, 0.00265463
polizist, NOUN, 20, NN, 0.02654632
heuler, NOUN, 10, NN, 0.01327316
07.01.2020., NOUN, 1, NN, 0.00132732
spendentag, NOUN, 5, NN, 0.00663658
stadttteil, NOUN, 1, NN, 0.00132732
26.06.2019., NOUN, 1, NN, 0.00132732
reden, VERB, 3, VVINF, 0.00398195
fremde, ADJ, 3, ADJA, 0.00398195
östliche, ADJ, 1, ADJA, 0.00132732
ardern, VERB, 1, NN, 0.00132732
weihnachtsmarkt, NOUN, 1, NN, 0.00132732
soll, AUX, 43, VMFIN, 0.05707460
reedereien, NOUN, 2, NN, 0.00265463
bergen, NOUN, 2, NE, 0.00265463
dfb-pokal, NOUN, 26, NN, 0.03451022
ein, ADV, 2, PTKVZ, 0.00265463
lenschow, PROPN, 4, NE, 0.00530926
geplatzt, VERB, 1, VVPP, 0.00132732
lokomotive, NOUN, 1, NN, 0.00132732
89, NUM, 2, CARD, 0.00265463
winsen, PROPN, 1, NE, 0.00132732
gebremst, VERB, 5, VVPP, 0.00663658
getroffen, VERB, 16, VVPP, 0.02123706
schiffstaufe, NOUN, 4, NN, 0.00530926
kaputtgegangen, VERB, 4, VVPP, 0.00530926
verkaufen, VERB, 5, VVINF, 0.00663658
sögel, PROPN, 2, NE, 0.00265463
spenden, NOUN, 1, NN, 0.00132732
volleyballspiel, NOUN, 4, NN, 0.00530926
freiburg, PROPN, 2, NE, 0.00265463
blinden, ADJ, 3, ADJA, 0.00398195
7., ADJ, 1, ADJA, 0.00132732
verkaufen, VERB, 5, VVFIN, 0.00663658
sylvia, PROPN, 16, NE, 0.02123706
gelobt, VERB, 1, VVPP, 0.00132732
arme, ADJ, 1, ADJA, 0.00132732
weitergehen, VERB, 1, VVINF, 0.00132732
finkenbrück, NOUN, 2, NN, 0.00265463
größer, ADV, 10, ADJD, 0.01327316
wirft, VERB, 1, VVFIN, 0.00132732
11.12.2018., NOUN, 1, NN, 0.00132732
07.03.2019., ADJ, 1, ADJA, 0.00132732
400.000, NUM, 3, CARD, 0.00398195
vertreiben, VERB, 1, VVINF, 0.00132732
bedrohen, VERB, 1, VVINF, 0.00132732
sters, PROPN, 1, NN, 0.00132732
führen, VERB, 1, VVINF, 0.00132732
hamburg-eidelstedt, PROPN, 1, NE, 0.00132732
vw, PROPN, 27, NE, 0.03583754
bornemann, PROPN, 5, NE, 0.00663658
helfe, VERB, 1, VVFIN, 0.00132732
insekten, NOUN, 1, NN, 0.00132732
hauptbahnhof, NOUN, 19, NN, 0.02521901
heiraten, VERB, 1, VVINF, 0.00132732
sofort, ADV, 3, ADV, 0.00398195
berne, PROPN, 1, NE, 0.00132732
findet, VERB, 5, VVFIN, 0.00663658
werfen, VERB, 1, VVINF, 0.00132732
herausgekommen, VERB, 1, VVPP, 0.00132732
flucht, NOUN, 4, NN, 0.00530926
aez, PROPN, 3, NE, 0.00398195
zu, ADP, 1, PTKA, 0.00132732
böse, ADV, 1, ADJD, 0.00132732
hamburger, ADJ, 39, ADJA, 0.05176533
schließen, VERB, 5, VVFIN, 0.00663658
feuer, NOUN, 440, NN, 0.58401911
giftigen, ADJ, 4, ADJA, 0.00530926
nun, ADV, 2, ADV, 0.00265463
armen, ADJ, 3, ADJA, 0.00398195
genzlin, PROPN, 2, NE, 0.00265463
zugegeben, VERB, 2, VVPP, 0.00265463
streichen, VERB, 1, VVINF, 0.00132732
den, PROPN, 1, ART, 0.00132732
tretroller, NOUN, 1, NN, 0.00132732
2018, NUM, 3, CARD, 0.00398195
16., ADJ, 4, ADJA, 0.00530926
dörverden, PROPN, 1, NE, 0.00132732
ostseeküste, PROPN, 1, NN, 0.00132732
flügel, NOUN, 4, NN, 0.00530926
hat, AUX, 1489, VAFIN, 1.97637377
apfelernte, NOUN, 1, NN, 0.00132732
passieren, VERB, 1, VVFIN, 0.00132732
lagern, VERB, 1, VVINF, 0.00132732
nordische, ADJ, 1, ADJA, 0.00132732
vorgeschlagen, VERB, 1, VVPP, 0.00132732
rader, PROPN, 1, NE, 0.00132732
hallenbad, NOUN, 8, NN, 0.01061853
entschärfen, NOUN, 1, NN, 0.00132732
husum, ADJ, 2, NE, 0.00265463
unfälle, NOUN, 25, NN, 0.03318290
täter, NOUN, 14, NN, 0.01858243
b106, PROPN, 1, NE, 0.00132732
hansaplatz, PROPN, 1, NE, 0.00132732
musste, AUX, 15, VMFIN, 0.01990974
australien, PROPN, 3, NE, 0.00398195
nächste, ADJ, 2, ADJA, 0.00265463
reisepass, NOUN, 1, NN, 0.00132732
strom, NOUN, 35, NN, 0.04645607
anjes, PROPN, 2, NE, 0.00265463
stoppelmarkt, NOUN, 7, NN, 0.00929121
lkw, NOUN, 165, NN, 0.21900717
musiker, NOUN, 15, NN, 0.01990974
33, NUM, 1, CARD, 0.00132732
23.04.2019., NOUN, 1, NN, 0.00132732
roboter, NOUN, 1, NN, 0.00132732
wildschweine, NOUN, 19, NN, 0.02521901
gerissen, VERB, 2, VVPP, 0.00265463
gegeneinander, ADV, 7, ADV, 0.00929121
straftat, NOUN, 19, NN, 0.02521901
schlechtes, ADJ, 1, ADJA, 0.00132732
09.10.2019., NOUN, 1, CARD, 0.00132732
20.11.2019., NOUN, 1, NN, 0.00132732
handballspiele, NOUN, 3, NN, 0.00398195
a352., X, 1, NN, 0.00132732
zarrentin, NOUN, 1, NE, 0.00132732
seinen, DET, 14, PPOSAT, 0.01858243
algen, NOUN, 3, NN, 0.00398195
getestet, VERB, 1, VVPP, 0.00132732
440, NUM, 1, CARD, 0.00132732
5., ADJ, 7, ADJA, 0.00929121
ungesund, ADV, 1, ADJD, 0.00132732
ausrüstung, NOUN, 1, NN, 0.00132732
08.10.2019., NUM, 1, CARD, 0.00132732
18.09.2019., ADJ, 1, ADJA, 0.00132732
streitenden, ADJ, 2, ADJA, 0.00265463
angela, PROPN, 12, NE, 0.01592779
13.02.2019., NOUN, 1, NN, 0.00132732
renovierung, NOUN, 2, NN, 0.00265463
bergwerksloren, NOUN, 1, NN, 0.00132732
windenergie, NOUN, 4, NN, 0.00530926
untersuchungshaft, NOUN, 11, NN, 0.01460048
2014, NUM, 4, CARD, 0.00530926
heißen, VERB, 2, VVINF, 0.00265463
kutsche, NOUN, 9, NN, 0.01194585
fenster, NOUN, 13, NN, 0.01725511
dominic, PROPN, 2, NE, 0.00265463
zoo, NOUN, 4, NN, 0.00530926
24.09.2019., PROPN, 1, NE, 0.00132732
fernbus, NOUN, 3, NN, 0.00398195
vermissten, ADJ, 1, ADJA, 0.00132732
musikern, NOUN, 3, NN, 0.00398195
17.04.2019., NOUN, 1, NN, 0.00132732
computern, NOUN, 3, NN, 0.00398195
nachfolgerin, NOUN, 2, NN, 0.00265463
althusmann, PROPN, 2, NE, 0.00265463
a2, X, 2, XY, 0.00265463
kältebus, PROPN, 1, NN, 0.00132732
filmen, NOUN, 2, NN, 0.00265463
dichter, ADJ, 1, ADJA, 0.00132732
thailand, PROPN, 3, NE, 0.00398195
flasche, NOUN, 2, NN, 0.00265463
fußballspielen, NOUN, 1, NN, 0.00132732
michel, PROPN, 9, NE, 0.01194585
hühner, NOUN, 2, NN, 0.00265463
15.03.2019., ADJ, 1, ADJA, 0.00132732
23.01.2020., PROPN, 1, ADJA, 0.00132732
uruguay, PROPN, 2, NE, 0.00265463
vorbeifahren, VERB, 1, VVINF, 0.00132732
traurig, ADV, 1, ADJD, 0.00132732
14, NUM, 3, CARD, 0.00398195
köln, PROPN, 3, NE, 0.00398195
kohltage, PROPN, 1, NE, 0.00132732
wahlen, NOUN, 2, NN, 0.00265463
grippe, NOUN, 6, NN, 0.00796390
sturmflut, NOUN, 15, NN, 0.01990974
zusammen, ADV, 10, PTKVZ, 0.01327316
bremen, PROPN, 57, NE, 0.07565702
landwirtschaftsministerin, NOUN, 4, NN, 0.00530926
100., ADJ, 1, ADJA, 0.00132732
musikrichtung, NOUN, 1, NN, 0.00132732
gar, ADV, 3, ADV, 0.00398195
zusammen, ADV, 9, ADV, 0.01194585
ab, ADP, 4, PTKVZ, 0.00530926
münden, PROPN, 2, NE, 0.00265463
gesetzen, NOUN, 4, NN, 0.00530926
herunter, ADV, 1, PTKVZ, 0.00132732
bassum, PROPN, 1, NE, 0.00132732
sonntagmorgen, NOUN, 1, NN, 0.00132732
heiß, ADV, 12, ADJD, 0.01592779
kiel, PROPN, 99, NE, 0.13140430
baustelle, NOUN, 15, NN, 0.01990974
andere, PRON, 1, PIS, 0.00132732
fällen, VERB, 1, VVINF, 0.00132732
standort, NOUN, 6, NN, 0.00796390
4000, NUM, 2, CARD, 0.00265463
alstertal-einkaufszentrum, NOUN, 1, NN, 0.00132732
laufen, VERB, 10, VVINF, 0.01327316
beleidigt, VERB, 1, VVPP, 0.00132732
2,4, NUM, 1, CARD, 0.00132732
fällen, VERB, 3, VVFIN, 0.00398195
meistens, ADV, 13, ADV, 0.01725511
198, NUM, 1, CARD, 0.00132732
22.01.2020., NOUN, 1, NN, 0.00132732
bleiben, VERB, 1, VVFIN, 0.00132732
laufen, VERB, 4, VVFIN, 0.00530926
thiem, PROPN, 2, NE, 0.00265463
a7, X, 1, FM, 0.00132732
trauerfeier, NOUN, 8, NN, 0.01061853
verkehrsbetrieben, NOUN, 2, NN, 0.00265463
ich, PRON, 63, PPER, 0.08362092
lutz, PROPN, 4, NE, 0.00530926
buchen, NOUN, 1, NN, 0.00132732
meter, NOUN, 12, NN, 0.01592779
schlossgarten, NOUN, 4, NN, 0.00530926
führt, VERB, 2, VVFIN, 0.00265463
weggefahren, VERB, 3, VVPP, 0.00398195
derby, NOUN, 6, NN, 0.00796390
39, NUM, 4, CARD, 0.00530926
evangelische, ADJ, 1, ADJA, 0.00132732
automatisch, ADV, 1, ADJD, 0.00132732
shenzhen, PROPN, 2, NE, 0.00265463
sagt, VERB, 10, VVFIN, 0.01327316
jahr, NOUN, 73, NN, 0.09689408
glastür, NOUN, 1, NN, 0.00132732
rechtzeitig, ADV, 9, ADJD, 0.01194585
darüber, ADV, 4, PROAV, 0.00530926
umweltschutz, NOUN, 2, NN, 0.00265463
wir, PRON, 415, PPER, 0.55083621
96., ADJ, 3, ADJA, 0.00398195
krakow, PROPN, 1, NE, 0.00132732
gestohlen, VERB, 11, VVPP, 0.01460048
osdorf, PROPN, 8, NE, 0.01061853
unfällen, NOUN, 11, NN, 0.01460048
07.02.2019., ADJ, 1, ADJA, 0.00132732
padborg, PROPN, 3, NE, 0.00398195
14.02.2019., ADJ, 1, ADJA, 0.00132732
weiterspielen, VERB, 8, VVINF, 0.01061853
zugfahrt, NOUN, 1, NN, 0.00132732
mitgemacht, VERB, 3, VVPP, 0.00398195
04.04.2020., ADJ, 1, ADJA, 0.00132732
31., ADJ, 3, ADJA, 0.00398195
corona-virus, NOUN, 47, NN, 0.06238386
viertgrößte, ADJ, 1, ADJA, 0.00132732
stören, VERB, 1, VVFIN, 0.00132732
solarpark, NOUN, 7, NN, 0.00929121
modeschöpfer, NOUN, 4, NN, 0.00530926
schnellste, ADJ, 3, ADJA, 0.00398195
kleiner, ADJ, 14, ADJA, 0.01858243
corona-partys, NOUN, 1, NN, 0.00132732
genug, DET, 5, PIAT, 0.00663658
971, NUM, 1, CARD, 0.00132732
2024, NUM, 1, CARD, 0.00132732
heide, PROPN, 1, NN, 0.00132732
regierungschef, NOUN, 1, NN, 0.00132732
schlager, NOUN, 3, NN, 0.00398195
altona, PROPN, 13, NE, 0.01725511
lebensgefahr, NOUN, 1, NN, 0.00132732
toben, VERB, 1, VVFIN, 0.00132732
20.03.2020., ADJ, 1, ADJA, 0.00132732
arbeiter, NOUN, 93, NN, 0.12344040
krusenkoppel, PROPN, 1, NE, 0.00132732
energie, NOUN, 7, NN, 0.00929121
kopf, NOUN, 8, NN, 0.01061853
georg, PROPN, 2, NE, 0.00265463
meiste, PRON, 1, PIS, 0.00132732
viel, PRON, 9, PIS, 0.01194585
1,96, NUM, 1, CARD, 0.00132732
arbeiten, VERB, 14, VVINF, 0.01858243
12.06.2019., ADJ, 1, ADJA, 0.00132732
fußball-liga, NOUN, 1, NN, 0.00132732
spät, ADV, 8, ADJD, 0.01061853
kellinghusen, PROPN, 4, NE, 0.00530926
wahl, NOUN, 21, NN, 0.02787364
seeweg, NOUN, 1, NN, 0.00132732
28.06.2019., NOUN, 1, NN, 0.00132732
schleswig, PROPN, 2, NE, 0.00265463
300.00, NUM, 1, CARD, 0.00132732
norderstedt, PROPN, 3, NE, 0.00398195
flugzeug, NOUN, 37, NN, 0.04911070
vorgestellt, VERB, 2, VVPP, 0.00265463
sich, PRON, 130, PRF, 0.17255110
sportvereine, NOUN, 2, NN, 0.00265463
schmuck, NOUN, 1, NN, 0.00132732
andré, PROPN, 4, NE, 0.00530926
44, NUM, 2, CARD, 0.00265463
geburt, NOUN, 1, NN, 0.00132732
esc, NOUN, 1, NN, 0.00132732
sprung, NOUN, 3, NN, 0.00398195
fernseher, NOUN, 1, NN, 0.00132732
fahrbahn, NOUN, 51, NN, 0.06769312
beim, ADP, 58, APPRART, 0.07698434
fehlen, VERB, 1, VVFIN, 0.00132732
gestoppt, VERB, 1, VVPP, 0.00132732
rügen, PROPN, 10, NE, 0.01327316
schlamm, NOUN, 2, NN, 0.00265463
anstrengend, ADV, 1, ADJD, 0.00132732
erzeugt, VERB, 1, VVFIN, 0.00132732
schrift, NOUN, 1, NN, 0.00132732
schoduvel, PROPN, 2, NE, 0.00265463
b203, PROPN, 2, NE, 0.00265463
manche, PRON, 2, PIS, 0.00265463
landwirt, NOUN, 1, NN, 0.00132732
milliarden, NOUN, 2, NN, 0.00265463
stellen, VERB, 3, VVFIN, 0.00398195
11.11.2019., NOUN, 1, NN, 0.00132732
will, AUX, 133, VMFIN, 0.17653305
segeberg, PROPN, 6, NE, 0.00796390
fluss, NOUN, 18, NN, 0.02389169
kühnbaum-schmidt, PROPN, 3, NE, 0.00398195
gelegen, VERB, 2, VVPP, 0.00265463
29.08.2019., NOUN, 1, NN, 0.00132732
31., ADV, 1, PTKVZ, 0.00132732
ddie, ADJ, 1, NE, 0.00132732
fließt, VERB, 10, VVFIN, 0.01327316
stand, VERB, 1, VVFIN, 0.00132732
anderer, ADJ, 14, ADJA, 0.01858243
2., ADJ, 23, ADJA, 0.03052827
ulm, PROPN, 3, NE, 0.00398195
segelflugzeuge, NOUN, 2, NN, 0.00265463
tanzgruppen, NOUN, 3, NN, 0.00398195
gesichert, VERB, 2, VVPP, 0.00265463
gespritzt, VERB, 1, VVPP, 0.00132732
windig, ADV, 2, ADJD, 0.00265463
fahrerin, NOUN, 6, NN, 0.00796390
ungefährlich, ADV, 12, ADJD, 0.01592779
tod, NOUN, 3, NN, 0.00398195
dorsch, PROPN, 1, NE, 0.00132732
nie, ADV, 16, ADV, 0.02123706
gefährlicher, ADJ, 1, ADJA, 0.00132732
wolgast, PROPN, 2, NE, 0.00265463
wie, ADP, 11, KOKOM, 0.01460048
protestieren, VERB, 6, VVFIN, 0.00796390
supermärkte, NOUN, 4, NN, 0.00530926
seilen, NOUN, 1, NN, 0.00132732
quickborn, PROPN, 3, NE, 0.00398195
fallen, VERB, 3, VVINF, 0.00398195
anstecken, VERB, 9, VVINF, 0.01194585
absichtlich, ADV, 5, ADJD, 0.00663658
durchsucht, VERB, 1, VVFIN, 0.00132732
premiere, NOUN, 4, NN, 0.00530926
treppen, NOUN, 7, NN, 0.00929121
dienstagabend, NOUN, 2, NN, 0.00265463
pawljutschenkowa, PROPN, 2, NE, 0.00265463
anstecken, VERB, 1, VVFIN, 0.00132732
wilfried, PROPN, 4, NE, 0.00530926
verschoben, VERB, 2, VVPP, 0.00265463
229, NUM, 1, CARD, 0.00132732
seinem, DET, 61, PPOSAT, 0.08096629
gewürgt, VERB, 2, VVPP, 0.00265463
pasewalk, PROPN, 2, NE, 0.00265463
filmfest, NOUN, 20, NN, 0.02654632
auswählen, VERB, 1, VVINF, 0.00132732
schneiden, VERB, 1, VVFIN, 0.00132732
beteiligt, VERB, 1, VVPP, 0.00132732
weggelaufen, VERB, 8, VVPP, 0.01061853
mussten, VERB, 6, VMFIN, 0.00796390
unsere, DET, 20, PPOSAT, 0.02654632
geschlafen, VERB, 1, VVPP, 0.00132732
28.01.2019., NOUN, 1, NN, 0.00132732
dvv, PROPN, 2, NE, 0.00265463
bahnsteig, NOUN, 2, NN, 0.00265463
ausbrechen, VERB, 1, VVINF, 0.00132732
abdeckung, NOUN, 2, NN, 0.00265463
fußball-bundesliga, NOUN, 1, NN, 0.00132732
straßen, NOUN, 52, NN, 0.06902044
entlassen, VERB, 15, VVPP, 0.01990974
winter, NOUN, 9, NN, 0.01194585
sicherheit, NOUN, 20, NN, 0.02654632
tuch, NOUN, 2, NN, 0.00265463
probleme, NOUN, 48, NN, 0.06371118
mitgenommen, VERB, 1, VVPP, 0.00132732
wollen, AUX, 105, VMFIN, 0.13936820
fahrrad, NOUN, 12, NN, 0.01592779
2020, NUM, 6, CARD, 0.00796390
wrohm, PROPN, 1, NN, 0.00132732
schafen, NOUN, 1, NN, 0.00132732
viele, PRON, 10, PIS, 0.01327316
süderstraße, PROPN, 1, NE, 0.00132732
suche, NOUN, 1, NN, 0.00132732
alternative, NOUN, 2, NN, 0.00265463
obdachlosen, NOUN, 6, NN, 0.00796390
möchten, AUX, 1, VMFIN, 0.00132732
gefangen, ADV, 1, PTKVZ, 0.00132732
a7., ADP, 1, APPR, 0.00132732
platzt, VERB, 2, VVFIN, 0.00265463
vier, NUM, 2, CARD, 0.00265463
pläne, NOUN, 4, NN, 0.00530926
polen, PROPN, 9, NE, 0.01194585
elbchausee, PROPN, 1, NE, 0.00132732
claudio, PROPN, 7, NE, 0.00929121
dj, PROPN, 1, NE, 0.00132732
ehrlich, ADV, 1, ADJD, 0.00132732
stehengeblieben, VERB, 1, VVINF, 0.00132732
109., NUM, 1, NN, 0.00132732
schranken, NOUN, 11, NN, 0.01460048
wissen, VERB, 103, VVINF, 0.13671357
leichtathletik, NOUN, 2, NN, 0.00265463
hansa, PROPN, 14, NE, 0.01858243
2., ADV, 7, ADV, 0.00929121
lübeck, PROPN, 28, NE, 0.03716485
gefälschte, ADJ, 3, ADJA, 0.00398195
stehengeblieben, VERB, 2, VVFIN, 0.00265463
domagoj, PROPN, 5, NE, 0.00663658
wissen, VERB, 30, VVFIN, 0.03981949
a7., NOUN, 6, ADV, 0.00796390
testspiel, NOUN, 3, NN, 0.00398195
