Wort, POS, Count, TAG, Lexikalische Vielfalt
geschlagen, VERB, 25, VVPP, 0.01143348
leibesübungen, NOUN, 1, NN, 0.00045734
räumen, VERB, 2, VVINF, 0.00091468
1980., PROPN, 1, $., 0.00045734
walk, X, 2, FM, 0.00091468
versprochen, VERB, 2, VVPP, 0.00091468
benannt, VERB, 1, VVPP, 0.00045734
7:5, NUM, 1, CARD, 0.00045734
marineschiffen, NOUN, 1, NN, 0.00045734
stadt, NOUN, 474, NN, 0.21677887
kindergärten, NOUN, 4, NN, 0.00182936
mühlenteich, PROPN, 1, NN, 0.00045734
vermisste, ADJ, 2, ADJA, 0.00091468
haben, AUX, 6, VAINF, 0.00274404
lebenslange, ADJ, 1, ADJA, 0.00045734
ehrenbürger, NOUN, 1, NN, 0.00045734
gesichert, VERB, 7, VVPP, 0.00320138
weitsprung, NOUN, 1, NN, 0.00045734
25.01.2019., PROPN, 1, NE, 0.00045734
tresor, NOUN, 10, NN, 0.00457339
stunde, NOUN, 11, NN, 0.00503073
dampflokomotiven, NOUN, 1, NN, 0.00045734
januar, NOUN, 16, NN, 0.00731743
höhle, NOUN, 1, NN, 0.00045734
davis, PROPN, 4, NE, 0.00182936
18.000, NUM, 2, CARD, 0.00091468
überprüft, VERB, 2, VVFIN, 0.00091468
airbus, PROPN, 7, NN, 0.00320138
republik, NOUN, 2, NN, 0.00091468
gewählte, ADJ, 1, ADJA, 0.00045734
verhandeln, VERB, 1, VVINF, 0.00045734
gepasst, VERB, 1, VVPP, 0.00045734
willy, PROPN, 16, NE, 0.00731743
ausfallen, VERB, 1, VVINF, 0.00045734
klaws, PROPN, 7, NE, 0.00320138
obstkisten, NOUN, 12, NN, 0.00548807
sosniok, PROPN, 3, NE, 0.00137202
boldt, PROPN, 5, NE, 0.00228670
neuallermöhe, NOUN, 1, NN, 0.00045734
ludwig, PROPN, 23, NE, 0.01051881
ddie, ADJ, 1, NE, 0.00045734
autofahrer, NOUN, 240, NN, 0.10976145
morgen, ADV, 4, ADV, 0.00182936
othmarschen, PROPN, 1, NE, 0.00045734
halbfinalen, NOUN, 3, NN, 0.00137202
betäubt, VERB, 1, VVPP, 0.00045734
anderem, DET, 1, PIS, 0.00045734
landwirtschaftsausstellung, NOUN, 2, NN, 0.00091468
getreten, VERB, 5, VVPP, 0.00228670
informiert, VERB, 1, VVPP, 0.00045734
fußballfelder, NOUN, 1, NN, 0.00045734
kran, NOUN, 20, NN, 0.00914679
frühestens, ADV, 1, ADV, 0.00045734
halle, NOUN, 6, NE, 0.00274404
hollywood, PROPN, 1, NE, 0.00045734
a2, X, 2, XY, 0.00091468
info, NOUN, 2, NE, 0.00091468
stadion, NOUN, 18, NN, 0.00823211
weinreben, NOUN, 3, NN, 0.00137202
beachvolleyball, PROPN, 7, NE, 0.00320138
pyrmont, PROPN, 2, NE, 0.00091468
europa, PROPN, 36, NE, 0.01646422
letzin, NOUN, 1, NE, 0.00045734
jugendlichen, NOUN, 7, NN, 0.00320138
elefantenbaby, NOUN, 8, NN, 0.00365872
herunterfliegen, VERB, 1, VVINF, 0.00045734
flüssigkeiten, NOUN, 6, NN, 0.00274404
macht, NOUN, 1, NN, 0.00045734
insolvent, ADV, 4, ADJD, 0.00182936
moore, PROPN, 1, NE, 0.00045734
127.000, NUM, 1, CARD, 0.00045734
tbv, PROPN, 1, NE, 0.00045734
bewegt, VERB, 6, VVFIN, 0.00274404
krise, NOUN, 2, NN, 0.00091468
ordnung, NOUN, 1, NN, 0.00045734
das, DET, 2376, ART, 1.08663837
mai, NOUN, 48, NN, 0.02195229
zuschauer, NOUN, 46, NN, 0.02103761
bestimmte, ADJ, 7, VVFIN, 0.00320138
stadtteil, NOUN, 167, NN, 0.07637568
17.05.2019., ADJ, 1, ADJA, 0.00045734
sprengen, VERB, 4, VVFIN, 0.00182936
out, PROPN, 1, FM, 0.00045734
folge, NOUN, 2, NN, 0.00091468
coasts, PROPN, 1, NN, 0.00045734
terroristen, NOUN, 70, NN, 0.03201376
autor, NOUN, 2, NN, 0.00091468
wall, NOUN, 2, NN, 0.00091468
schwimmbad, NOUN, 4, NN, 0.00182936
kleinere, ADJ, 4, ADJA, 0.00182936
brachschweig, NOUN, 1, NE, 0.00045734
77, NUM, 2, CARD, 0.00091468
feldern, NOUN, 22, NN, 0.01006147
abgelenkt, VERB, 2, VVPP, 0.00091468
ausgeschieden, VERB, 12, VVPP, 0.00548807
erfrieren, VERB, 3, VVINF, 0.00137202
leben, VERB, 62, VVFIN, 0.02835504
töten, VERB, 4, VVFIN, 0.00182936
vorträge, NOUN, 4, NN, 0.00182936
sommer, NOUN, 33, NN, 0.01509220
habe, VERB, 3, VAFIN, 0.00137202
deutschland-achter, NOUN, 2, NN, 0.00091468
hin, ADV, 1, PTKVZ, 0.00045734
überschwemmung, NOUN, 5, NN, 0.00228670
rakete, NOUN, 1, NN, 0.00045734
ähnliches, ADJ, 1, ADJA, 0.00045734
geflüchtet, VERB, 17, VVPP, 0.00777477
corona-virus, PROPN, 9, NE, 0.00411605
schutzmasken, NOUN, 16, NN, 0.00731743
transportiert, VERB, 4, VVPP, 0.00182936
radarfalle, NOUN, 1, NN, 0.00045734
1971, NUM, 1, CARD, 0.00045734
strahlen, VERB, 2, VVFIN, 0.00091468
schulbus, NOUN, 7, NN, 0.00320138
erinnerung, NOUN, 2, NN, 0.00091468
sprechen, VERB, 6, VVINF, 0.00274404
karnevalsumzug, NOUN, 52, NN, 0.02378165
herbst, NOUN, 6, NN, 0.00274404
energie, NOUN, 17, NN, 0.00777477
trennt, VERB, 2, VVFIN, 0.00091468
400.000, NUM, 5, CARD, 0.00228670
nandus, NOUN, 25, NN, 0.01143348
scholz, PROPN, 63, NE, 0.02881238
verschickt, VERB, 1, VVPP, 0.00045734
wildberg, PROPN, 3, NE, 0.00137202
junge, NOUN, 18, NN, 0.00823211
15.07.2019., NOUN, 1, NN, 0.00045734
lachen, NOUN, 1, NN, 0.00045734
beschützen, VERB, 1, VVFIN, 0.00045734
wieder, ADV, 259, ADV, 0.11845090
sabine, PROPN, 1, NE, 0.00045734
erkennt, VERB, 1, VVFIN, 0.00045734
musikinstrument, NOUN, 1, NN, 0.00045734
bewachten, ADJ, 2, ADJA, 0.00091468
sterben, VERB, 7, VVINF, 0.00320138
schwan, NOUN, 5, NN, 0.00228670
polizeischule, NOUN, 14, NN, 0.00640275
3.400, NUM, 1, CARD, 0.00045734
leistungen, NOUN, 3, NN, 0.00137202
deutsch, NOUN, 1, NE, 0.00045734
elektro-roller, NOUN, 6, NN, 0.00274404
anna, PROPN, 5, NE, 0.00228670
2,4, NUM, 1, CARD, 0.00045734
zusammenhalten, VERB, 2, VVINF, 0.00091468
schubert, PROPN, 9, NE, 0.00411605
gewalt, NOUN, 6, NN, 0.00274404
feiertag, NOUN, 27, NN, 0.01234816
vorpommern, PROPN, 7, NE, 0.00320138
weiten, ADJ, 1, ADJA, 0.00045734
ostfriesland, PROPN, 7, NE, 0.00320138
wussten, VERB, 7, VVFIN, 0.00320138
festgesteckt, VERB, 2, VVPP, 0.00091468
musikgruppen, NOUN, 14, NN, 0.00640275
seine, DET, 62, PPOSAT, 0.02835504
konert, PROPN, 12, NE, 0.00548807
2023., NUM, 1, NN, 0.00045734
vorpommern-rügen, PROPN, 1, NE, 0.00045734
tatortreiniger, NOUN, 1, NN, 0.00045734
gezeigt, VERB, 15, VVPP, 0.00686009
20.11.2018., ADJ, 1, ADJA, 0.00045734
senatoren, NOUN, 4, NN, 0.00182936
orgel, NOUN, 7, NN, 0.00320138
nächsten, ADJ, 54, ADJA, 0.02469633
nach, ADP, 522, APPR, 0.23873116
kiel-wik, PROPN, 1, NN, 0.00045734
geisel, NOUN, 2, NN, 0.00091468
verspätung, NOUN, 17, NN, 0.00777477
entsteht, VERB, 22, VVFIN, 0.01006147
form, NOUN, 1, NN, 0.00045734
hals, NOUN, 2, NN, 0.00091468
balkone, NOUN, 1, NN, 0.00045734
testen, VERB, 14, VVFIN, 0.00640275
freitagabend, NOUN, 9, NN, 0.00411605
schulz, PROPN, 5, NE, 0.00228670
drese, PROPN, 2, NE, 0.00091468
nico-jan, PROPN, 3, NE, 0.00137202
drittletzter, ADJ, 1, ADJA, 0.00045734
samba, PROPN, 1, ADJD, 0.00045734
tierärzte, NOUN, 2, NN, 0.00091468
stollhamm, NOUN, 2, NN, 0.00091468
regionen, NOUN, 3, NN, 0.00137202
scandlines, PROPN, 2, NE, 0.00091468
verreisen, VERB, 2, VVINF, 0.00091468
schlechten, ADJ, 6, ADJA, 0.00274404
begonnen, VERB, 62, VVPP, 0.02835504
dingen, NOUN, 12, NN, 0.00548807
levina, PROPN, 2, NE, 0.00091468
führen, VERB, 2, VVINF, 0.00091468
trinken, VERB, 11, VVINF, 0.00503073
viewing, NOUN, 4, NN, 0.00182936
05.10.2018., NOUN, 1, NN, 0.00045734
umgefallene, ADJ, 1, ADJA, 0.00045734
alternative, NOUN, 3, NN, 0.00137202
anfassen, VERB, 1, VVINF, 0.00045734
versorgt, VERB, 1, VVPP, 0.00045734
joel, PROPN, 6, NE, 0.00274404
spanische, ADJ, 1, ADJA, 0.00045734
gehört, VERB, 61, VVFIN, 0.02789770
musicals, NOUN, 1, NN, 0.00045734
bestimmte, ADJ, 54, ADJA, 0.02469633
philip, PROPN, 4, NE, 0.00182936
aufgefressen, VERB, 1, VVPP, 0.00045734
freibadclique, NOUN, 1, NE, 0.00045734
tests, NOUN, 16, NN, 0.00731743
lüneburg, PROPN, 17, NE, 0.00777477
stellt, VERB, 4, VVFIN, 0.00182936
schiffstaufe, NOUN, 8, NN, 0.00365872
wieder, ADV, 13, PTKVZ, 0.00594541
handballkarriere, NOUN, 1, NN, 0.00045734
brennender, ADJ, 1, ADJA, 0.00045734
14.01.2020., PROPN, 1, ADJA, 0.00045734
verhindert, VERB, 1, VVPP, 0.00045734
können, AUX, 722, VMFIN, 0.33019903
stadtteilen, NOUN, 9, NN, 0.00411605
fisch, NOUN, 3, NN, 0.00137202
sitzen, VERB, 1, VVINF, 0.00045734
jena, PROPN, 6, NE, 0.00274404
25.10.2018., NOUN, 1, NN, 0.00045734
orang-utan-frau, NOUN, 1, NN, 0.00045734
06.05.2019., NUM, 1, ADJA, 0.00045734
vorsichtig, ADV, 26, ADJD, 0.01189082
schauspielerin, NOUN, 5, NN, 0.00228670
trotz, ADP, 2, APPR, 0.00091468
aus, ADP, 77, PTKVZ, 0.03521513
beschädigen, VERB, 1, VVINF, 0.00045734
ermordet, VERB, 29, VVPP, 0.01326284
brennen, VERB, 5, VVINF, 0.00228670
junger, ADJ, 5, ADJA, 0.00228670
ausbreiten, VERB, 2, VVINF, 0.00091468
hinterhof, NOUN, 2, NN, 0.00091468
rutschig, ADV, 5, ADJD, 0.00228670
visite, NOUN, 2, NN, 0.00091468
sache, NOUN, 11, NN, 0.00503073
leise, ADV, 3, ADJD, 0.00137202
untersuchungs∙haft, NOUN, 2, NN, 0.00091468
ziegen, NOUN, 1, NN, 0.00045734
flottbek, PROPN, 1, NE, 0.00045734
missbrauch, NOUN, 10, NN, 0.00457339
bank, NOUN, 21, NN, 0.00960413
tanken, VERB, 1, VVINF, 0.00045734
4700, NUM, 1, CARD, 0.00045734
unseren, DET, 15, PPOSAT, 0.00686009
586, NUM, 1, CARD, 0.00045734
selber, ADV, 3, ADV, 0.00137202
störtebeker-festspiele, NOUN, 4, NN, 0.00182936
früher, ADV, 6, ADV, 0.00274404
interessieren, VERB, 16, VVFIN, 0.00731743
bordelum, PROPN, 2, NE, 0.00091468
grab, NOUN, 1, NN, 0.00045734
lübtheen, PROPN, 10, NE, 0.00457339
abgeschafft, VERB, 2, VVPP, 0.00091468
zurückgebracht, VERB, 2, VVPP, 0.00091468
waschen, VERB, 8, VVFIN, 0.00365872
alle, PRON, 9, PIS, 0.00411605
stockwerke, NOUN, 1, NN, 0.00045734
eckernförde, PROPN, 16, NE, 0.00731743
autobahn, NOUN, 206, NN, 0.09421191
a, NOUN, 8, NN, 0.00365872
innenminister, NOUN, 21, NN, 0.00960413
hamburg-nordwest, NOUN, 1, NN, 0.00045734
schlucken, VERB, 1, VVFIN, 0.00045734
gehege, NOUN, 25, NN, 0.01143348
fahrgäste, NOUN, 6, NN, 0.00274404
zweiten, ADJ, 6, ADJA, 0.00274404
angreifen, VERB, 3, VVINF, 0.00137202
nikolos, PROPN, 2, NE, 0.00091468
10.04.2019., NOUN, 1, NN, 0.00045734
spät, ADV, 38, ADJD, 0.01737890
süssau, PROPN, 1, NN, 0.00045734
elektroautos, NOUN, 17, NN, 0.00777477
kreuzen, VERB, 1, VVFIN, 0.00045734
bösel, PROPN, 2, NE, 0.00091468
zweit, ADV, 2, ADJD, 0.00091468
01.04.2019., ADJ, 1, ADJA, 0.00045734
aufsteigen, VERB, 9, VVINF, 0.00411605
lückenfüller, PROPN, 1, NE, 0.00045734
krankheiten, NOUN, 6, NN, 0.00274404
kalisalz, NOUN, 3, NN, 0.00137202
traurig, ADV, 14, ADJD, 0.00640275
eitzum, VERB, 1, VVPP, 0.00045734
stöver, PROPN, 3, NE, 0.00137202
orange, PROPN, 1, NE, 0.00045734
frisch, NOUN, 2, NN, 0.00091468
überwachen, VERB, 1, VVINF, 0.00045734
basketballmannschaft, NOUN, 5, NN, 0.00228670
wind∙kraft∙anlagen, NOUN, 10, NN, 0.00457339
schiff, NOUN, 161, NN, 0.07363164
dich, PRON, 1, PPER, 0.00045734
zelten, NOUN, 12, NN, 0.00548807
ine, X, 1, XY, 0.00045734
geguckt, VERB, 2, VVPP, 0.00091468
besucht, VERB, 8, VVPP, 0.00365872
genervt, ADV, 1, ADJD, 0.00045734
verspätet, ADV, 1, ADJD, 0.00045734
wismar, PROPN, 36, NE, 0.01646422
getroffen, VERB, 39, VVPP, 0.01783624
rufen, VERB, 2, VVINF, 0.00091468
anklam, PROPN, 8, NE, 0.00365872
heißen, VERB, 39, VVFIN, 0.01783624
klein, ADV, 10, ADJD, 0.00457339
badezimmer, NOUN, 1, NN, 0.00045734
präsident, NOUN, 1, NN, 0.00045734
flasche, NOUN, 2, NN, 0.00091468
sportler, NOUN, 43, NN, 0.01966559
hund, NOUN, 7, NN, 0.00320138
überraschend, ADV, 2, ADJD, 0.00091468
bus-firma, NOUN, 1, NN, 0.00045734
nürnberg, PROPN, 4, NE, 0.00182936
21.03.2019., NOUN, 1, NN, 0.00045734
kontrolliert, VERB, 13, VVPP, 0.00594541
wahlgebiet, NOUN, 1, NN, 0.00045734
katastrophenfall, NOUN, 16, NN, 0.00731743
urlaub, NOUN, 63, NN, 0.02881238
2018., PROPN, 2, NN, 0.00091468
zugfahrt, NOUN, 1, NN, 0.00045734
erkennen, VERB, 4, VVFIN, 0.00182936
mehr, PRON, 12, PIS, 0.00548807
kranke, ADJ, 24, ADJA, 0.01097615
10.09.2019., NOUN, 1, NN, 0.00045734
zill, PROPN, 2, NE, 0.00091468
luhukay, PROPN, 10, NE, 0.00457339
eins, PRON, 2, PIS, 0.00091468
krankenbett, NOUN, 1, NN, 0.00045734
feuerwehr, NOUN, 275, NN, 0.12576833
thiem, PROPN, 2, NE, 0.00091468
lied, NOUN, 30, NN, 0.01372018
kindertagesstätte, NOUN, 2, NN, 0.00091468
b76., NOUN, 2, NN, 0.00091468
strassen, NOUN, 2, NN, 0.00091468
fritz-thiedemann-ring, NOUN, 3, NN, 0.00137202
ein, ADV, 5, PTKVZ, 0.00228670
welt∙krieg, NOUN, 6, NN, 0.00274404
a, PROPN, 1, XY, 0.00045734
zahlen, VERB, 4, VVINF, 0.00182936
jüdische, ADJ, 2, ADJA, 0.00091468
mechaniker, NOUN, 2, NN, 0.00091468
islamischen, ADJ, 3, ADJA, 0.00137202
dächern, NOUN, 1, NN, 0.00045734
fässer, NOUN, 2, NN, 0.00091468
übernehmen, VERB, 1, VVFIN, 0.00045734
u-bahn-linie, NOUN, 3, NN, 0.00137202
glastür, NOUN, 1, NN, 0.00045734
gleichberechtigt, VERB, 1, VVPP, 0.00045734
mein, DET, 8, PPOSAT, 0.00365872
bauernverband, NOUN, 2, NN, 0.00091468
780, NUM, 1, CARD, 0.00045734
a31, NOUN, 1, ADV, 0.00045734
zigaretten, NOUN, 4, NN, 0.00182936
björn, PROPN, 8, NE, 0.00365872
alone, PROPN, 3, NE, 0.00137202
zytoservice, PROPN, 4, NN, 0.00182936
wildunfall, NOUN, 1, NN, 0.00045734
organisation, NOUN, 8, NN, 0.00365872
kellinghusen, PROPN, 4, NE, 0.00182936
freut, VERB, 4, VVFIN, 0.00182936
versunken, VERB, 1, VVPP, 0.00045734
weiterentwickelt, VERB, 1, VVPP, 0.00045734
25, NUM, 17, CARD, 0.00777477
jever, PROPN, 1, NE, 0.00045734
135, NUM, 1, CARD, 0.00045734
gesagt, VERB, 1737, VVPP, 0.79439851
sperrungen, NOUN, 3, NN, 0.00137202
diskutieren, VERB, 1, VVINF, 0.00045734
17., ADJ, 3, ADJA, 0.00137202
wirtschaft, NOUN, 10, NN, 0.00457339
hawaii, PROPN, 3, NE, 0.00137202
abschießen, VERB, 3, VVINF, 0.00137202
18.11.2019., NOUN, 1, NN, 0.00045734
krank, ADV, 124, ADJD, 0.05671008
zerstört, VERB, 12, VVFIN, 0.00548807
judentum, NOUN, 3, NN, 0.00137202
nachfolgerin, NOUN, 2, NN, 0.00091468
verdacht, NOUN, 1, NN, 0.00045734
entschärft, VERB, 23, VVPP, 0.01051881
anrufen, VERB, 13, VVINF, 0.00594541
gedankt, VERB, 1, VVPP, 0.00045734
lügen, VERB, 1, VVFIN, 0.00045734
größtes, ADJ, 1, ADJA, 0.00045734
anmerkung, NOUN, 1, NN, 0.00045734
hameln, PROPN, 3, NE, 0.00137202
winnetou, PROPN, 11, NE, 0.00503073
buchgeschäfte, NOUN, 2, NN, 0.00091468
märchenwald, NOUN, 3, NN, 0.00137202
helfe, VERB, 2, VVFIN, 0.00091468
bürgermeister, NOUN, 171, NN, 0.07820503
radiopreise, PROPN, 1, NE, 0.00045734
bezirksamtsleiterin, NOUN, 1, NN, 0.00045734
geben, VERB, 40, VVINF, 0.01829358
geflügelhöfen, NOUN, 1, NN, 0.00045734
klassenreise, NOUN, 2, NN, 0.00091468
entschärfen, VERB, 12, VVINF, 0.00548807
alleingelassen, VERB, 1, VVPP, 0.00045734
norditalien, NOUN, 1, NN, 0.00045734
kongresshalle, NOUN, 2, NN, 0.00091468
eishockeyspiele, NOUN, 1, NN, 0.00045734
reflektoren, NOUN, 6, NN, 0.00274404
kriminell, ADV, 2, ADJD, 0.00091468
ernten, VERB, 9, VVFIN, 0.00411605
orang-utan, NOUN, 4, NN, 0.00182936
wassergraben, NOUN, 1, NN, 0.00045734
spd-chefin, NOUN, 1, NN, 0.00045734
messen, NOUN, 11, NN, 0.00503073
autohändler, NOUN, 2, NN, 0.00091468
kämpfer, NOUN, 5, NN, 0.00228670
gerettet, VERB, 25, VVPP, 0.01143348
bissendorf, PROPN, 3, NE, 0.00137202
verschwundene, ADJ, 1, ADJA, 0.00045734
fahrerflucht, NOUN, 1, NN, 0.00045734
fahrspuren, NOUN, 17, NN, 0.00777477
abgesackt, VERB, 12, VVPP, 0.00548807
sylt, PROPN, 47, NE, 0.02149495
langenfelder, ADJ, 1, ADJA, 0.00045734
freunden, NOUN, 2, NN, 0.00091468
vermieter, NOUN, 15, NN, 0.00686009
sylter, ADJ, 4, ADJA, 0.00182936
1912, NUM, 2, CARD, 0.00091468
28., ADJ, 7, ADJA, 0.00320138
silvester, NOUN, 12, NN, 0.00548807
geimpft, VERB, 2, VVPP, 0.00091468
erfolgreiche, ADJ, 2, ADJA, 0.00091468
bunt, ADV, 1, ADJD, 0.00045734
gedrückt, VERB, 2, VVPP, 0.00091468
