CMDLINE C:\Users\caligorax\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe studentcode.py
MEM 1.738281 1706727904.1366
MEM 21.804688 1706727904.2377
MEM 37.343750 1706727904.3383
MEM 46.023438 1706727904.4389
MEM 52.503906 1706727904.5395
MEM 58.375000 1706727904.6401
MEM 64.742188 1706727904.7407
MEM 69.937500 1706727904.8413
MEM 78.488281 1706727904.9419
MEM 89.996094 1706727905.0421
MEM 101.812500 1706727905.1424
MEM 111.160156 1706727905.2425
MEM 116.554688 1706727905.3426
MEM 124.417969 1706727905.4427
MEM 127.636719 1706727905.5428
MEM 189.800781 1706727905.6429
MEM 211.281250 1706727905.7435
MEM 241.312500 1706727905.8441
MEM 271.054688 1706727905.9442
MEM 299.558594 1706727906.0448
MEM 315.289062 1706727906.1449
MEM 340.425781 1706727906.2455
MEM 428.265625 1706727906.3461
MEM 402.117188 1706727906.4467
MEM 482.714844 1706727906.5473
MEM 698.222656 1706727906.6479
MEM 904.390625 1706727906.7485
MEM 932.316406 1706727906.8491
MEM 961.125000 1706727906.9492
MEM 973.300781 1706727907.0498
MEM 983.457031 1706727907.1499
MEM 985.898438 1706727907.2500
MEM 986.332031 1706727907.3501
MEM 985.953125 1706727907.4502
MEM 987.070312 1706727907.5506
MEM 986.902344 1706727907.6507
MEM 986.886719 1706727907.7508
MEM 988.089844 1706727907.8509
MEM 985.722656 1706727907.9510
MEM 986.031250 1706727908.0511
MEM 988.886719 1706727908.1512
MEM 988.605469 1706727908.2513
MEM 989.039062 1706727908.3514
MEM 989.144531 1706727908.4515
MEM 988.734375 1706727908.5521
MEM 987.304688 1706727908.6522
MEM 989.019531 1706727908.7523
MEM 989.929688 1706727908.8524
MEM 990.257812 1706727908.9525
MEM 989.066406 1706727909.0526
MEM 990.707031 1706727909.1532
MEM 992.507812 1706727909.2538
MEM 991.796875 1706727909.3544
MEM 992.261719 1706727909.4545
MEM 993.347656 1706727909.5546
MEM 991.257812 1706727909.6547
MEM 992.027344 1706727909.7548
MEM 991.699219 1706727909.8550
MEM 991.808594 1706727909.9551
MEM 992.371094 1706727910.0554
MEM 995.425781 1706727910.1555
MEM 994.832031 1706727910.2556
MEM 991.914062 1706727910.3557
MEM 993.683594 1706727910.4558
MEM 993.601562 1706727910.5559
MEM 993.914062 1706727910.6560
MEM 994.578125 1706727910.7561
MEM 994.191406 1706727910.8563
MEM 994.296875 1706727910.9564
MEM 994.628906 1706727911.0565
MEM 995.183594 1706727911.1566
MEM 996.285156 1706727911.2567
MEM 997.632812 1706727911.3568
MEM 995.046875 1706727911.4569
MEM 996.601562 1706727911.5575
MEM 996.210938 1706727911.6575
MEM 995.523438 1706727911.7576
MEM 996.660156 1706727911.8577
