         11364780 function calls (10967982 primitive calls) in 156.532 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.611    3.611 C:\Python38\lib\site-packages\spacy\util.py:651(load_model_from_init_py)
        1    0.000    0.000    3.608    3.608 C:\Python38\lib\site-packages\spacy\util.py:504(load_model_from_path)
        1    0.000    0.000    3.174    3.174 C:\Python38\lib\site-packages\spacy\language.py:2132(from_disk)
     10/1    0.002    0.000    3.172    3.172 C:\Python38\lib\site-packages\spacy\util.py:1363(from_disk)
     1320    0.011    0.000    2.512    0.002 C:\Python38\lib\site-packages\thinc\layers\with_array.py:87(_ragged_forward)
        1    0.000    0.000    2.420    2.420 C:\Python38\lib\site-packages\spacy\language.py:2158(deserialize_vocab)
        1    0.000    0.000    2.420    2.420 {method 'from_disk' of 'spacy.vocab.Vocab' objects}
        1    1.592    1.592    2.420    2.420 spacy\vocab.pyx:498(from_disk)
 1320/660    0.016    0.000    1.867    0.003 C:\Python38\lib\site-packages\thinc\layers\concatenate.py:56(forward)
 1320/660    0.009    0.000    1.649    0.002 C:\Python38\lib\site-packages\thinc\layers\concatenate.py:57(<listcomp>)
     3300    0.249    0.000    1.340    0.000 C:\Python38\lib\site-packages\thinc\layers\layernorm.py:23(forward)
        3    0.001    0.000    1.235    0.412 C:\Python38\lib\site-packages\seaborn\categorical.py:2310(barplot)
      330    0.001    0.000    1.151    0.003 e:\Studium\Master\IWV\Iwv-Wortschatz\IWV_studentProject\dataLoader.py:157(__getitem__)
      330    0.005    0.000    1.150    0.003 e:\Studium\Master\IWV\Iwv-Wortschatz\IWV_studentProject\dataLoader.py:172(getFullText)
      330    0.006    0.000    1.135    0.003 C:\Python38\lib\site-packages\spacy\pipeline\edit_tree_lemmatizer.py:149(predict)
      990    0.015    0.000    1.050    0.001 C:\Python38\lib\site-packages\thinc\layers\softmax.py:63(forward)
      990    0.117    0.000    1.019    0.001 C:\Python38\lib\site-packages\thinc\backends\ops.py:259(affine)
  465/408    0.002    0.000    0.979    0.002 C:\Python38\lib\site-packages\matplotlib\_api\deprecation.py:443(wrapper)
     3300    0.048    0.000    0.916    0.000 C:\Python38\lib\site-packages\thinc\layers\layernorm.py:72(_get_moments)
      330    0.006    0.000    0.884    0.003 C:\Python38\lib\xml\dom\minidom.py:1955(parse)
      330    0.018    0.000    0.870    0.003 C:\Python38\lib\xml\dom\expatbuilder.py:899(parse)
        3    0.000    0.000    0.821    0.274 C:\Python38\lib\site-packages\matplotlib\pyplot.py:691(figure)
        3    0.000    0.000    0.821    0.274 C:\Python38\lib\site-packages\matplotlib\pyplot.py:381(new_figure_manager)
     1032    0.090    0.000    0.814    0.001 spacy\tokenizer.pyx:156(_tokenize_affixes)
      330    0.005    0.000    0.792    0.002 C:\Python38\lib\xml\dom\expatbuilder.py:197(parseFile)
       12    0.000    0.000    0.787    0.066 C:\Python38\lib\site-packages\matplotlib\pyplot.py:2307(gca)
      330    0.001    0.000    0.764    0.002 C:\Python38\lib\site-packages\spacy\language.py:1122(_ensure_doc)
      330    0.002    0.000    0.762    0.002 C:\Python38\lib\site-packages\spacy\language.py:1110(make_doc)
      330    0.001    0.000    0.760    0.002 spacy\tokenizer.pyx:143(__call__)
        3    0.000    0.000    0.750    0.250 C:\Python38\lib\site-packages\matplotlib\backend_bases.py:3567(new_figure_manager)
        3    0.000    0.000    0.746    0.249 C:\Python38\lib\site-packages\matplotlib\backend_bases.py:3576(new_figure_manager_given_figure)
        3    0.000    0.000    0.746    0.249 C:\Python38\lib\site-packages\matplotlib\backend_bases.py:1731(new_manager)
        3    0.001    0.000    0.746    0.249 C:\Python38\lib\site-packages\matplotlib\backends\_backend_tk.py:476(create_with_canvas)
     3300    0.693    0.000    0.739    0.000 thinc\backends\numpy_ops.pyx:165(__pyx_fuse_0maxout)
      660    0.122    0.000    0.733    0.001 {method 'Parse' of 'pyexpat.xmlparser' objects}
  327/285    0.002    0.000    0.691    0.002 C:\Python38\lib\tkinter\__init__.py:1878(__call__)
27610/15089    0.476    0.000    0.682    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     3300    0.129    0.000    0.669    0.000 C:\Python38\lib\site-packages\thinc\layers\hashembed.py:59(forward)
        8    0.006    0.001    0.646    0.081 C:\Python38\lib\site-packages\spacy\language.py:2178(<lambda>)
        1    0.000    0.000    0.630    0.630 spacy\vectors.pyx:678(from_disk)
     7404    0.008    0.000    0.625    0.000 spacy\tokenizer.pyx:384(_tokenize)
       12    0.000    0.000    0.618    0.051 C:\Python38\lib\site-packages\matplotlib\pyplot.py:893(gcf)
      660    0.129    0.000    0.562    0.001 C:\Python38\lib\site-packages\spacy\ml\staticvectors.py:41(forward)
      660    0.011    0.000    0.542    0.001 spacy\pipeline\tagger.pyx:124(predict)
      299    0.002    0.000    0.528    0.002 C:\Python38\lib\weakref.py:561(__call__)
      299    0.005    0.000    0.525    0.002 C:\Python38\lib\site-packages\urllib3\connectionpool.py:1175(_close_pool_connections)
     3310    0.012    0.000    0.512    0.000 {method 'var' of 'numpy.ndarray' objects}
        9    0.000    0.000    0.511    0.057 C:\Python38\lib\tkinter\__init__.py:802(callit)
     3330    0.274    0.000    0.503    0.000 C:\Python38\lib\site-packages\numpy\core\_methods.py:198(_var)
     1122    0.472    0.000    0.497    0.000 {method 'call' of '_tkinter.tkapp' objects}
      299    0.443    0.001    0.489    0.002 C:\Python38\lib\site-packages\urllib3\connection.py:270(close)
        1    0.000    0.000    0.488    0.488 C:\Python38\lib\site-packages\spacy\pipeline\edit_tree_lemmatizer.py:345(from_disk)
        2    0.000    0.000    0.484    0.242 C:\Python38\lib\site-packages\spacy\util.py:1317(from_bytes)
        1    0.002    0.002    0.484    0.484 C:\Python38\lib\site-packages\spacy\pipeline\edit_tree_lemmatizer.py:357(<lambda>)
      660    0.018    0.000    0.480    0.001 C:\Python38\lib\site-packages\spacy\ml\_precomputable_affine.py:19(forward)
        2    0.014    0.007    0.474    0.237 C:\Python38\lib\site-packages\spacy\util.py:1336(from_dict)
      330    0.295    0.001    0.462    0.001 C:\Python38\lib\site-packages\spacy\pipeline\edit_tree_lemmatizer.py:233(set_annotations)
     6092    0.006    0.000    0.460    0.000 C:\Python38\lib\site-packages\spacy\pipeline\_edit_tree_internals\schemas.py:34(validate_edit_tree)
     6179    0.010    0.000    0.459    0.000 C:\Python38\lib\site-packages\pydantic\v1\main.py:517(parse_obj)
      598    0.003    0.000    0.459    0.001 C:\Python38\lib\site-packages\requests\cookies.py:124(extract_cookies_to_jar)
     7404    0.042    0.000    0.459    0.000 spacy\tokenizer.pyx:444(_attach_tokens)
     5238    0.015    0.000    0.451    0.000 <__array_function__ internals>:177(concatenate)
      598    0.010    0.000    0.445    0.001 C:\Python38\lib\http\cookiejar.py:1677(extract_cookies)
14346/6198    0.026    0.000    0.434    0.000 C:\Python38\lib\site-packages\pydantic\v1\main.py:332(__init__)
     3300    0.423    0.000    0.428    0.000 thinc\backends\numpy_ops.pyx:460(__pyx_fuse_0_1gather_add)
        1    0.000    0.000    0.420    0.420 C:\Python38\lib\site-packages\spacy\util.py:550(load_model_from_config)
14346/6198    0.134    0.000    0.419    0.000 C:\Python38\lib\site-packages\pydantic\v1\main.py:1032(validate_model)
