         11364780 function calls (10967982 primitive calls) in 156.532 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.047    0.001 C:\Python38\lib\site-packages\matplotlib\axis.py:1577(_copy_tick_props)
        3    0.000    0.000    0.047    0.016 C:\Python38\lib\tkinter\__init__.py:2001(wm_deiconify)
       66    0.000    0.000    0.047    0.001 C:\Python38\lib\site-packages\matplotlib\text.py:101(_get_text_metrics_with_cache_impl)
       66    0.001    0.000    0.047    0.001 C:\Python38\lib\site-packages\matplotlib\backends\backend_agg.py:221(get_text_width_height_descent)
        1    0.003    0.003    0.047    0.047 e:\Studium\Master\IWV\Iwv-Wortschatz\IWV_studentProject\studentcode.py:69(find_unique_words)
     2716    0.003    0.000    0.046    0.000 C:\Python38\lib\http\cookiejar.py:997(set_ok_path)
     1794    0.006    0.000    0.046    0.000 C:\Python38\lib\site-packages\requests\structures.py:40(__init__)
      299    0.002    0.000    0.046    0.000 C:\Python38\lib\http\client.py:922(close)
     2716    0.003    0.000    0.046    0.000 C:\Python38\lib\http\cookiejar.py:629(eff_request_host)
      299    0.018    0.000    0.046    0.000 C:\Python38\lib\email\feedparser.py:471(_parse_headers)
      299    0.001    0.000    0.045    0.000 C:\Python38\lib\site-packages\requests\utils.py:263(extract_zipped_paths)
      660    0.007    0.000    0.045    0.000 C:\Python38\lib\site-packages\thinc\layers\list2ragged.py:20(forward)
     1467    0.012    0.000    0.045    0.000 {built-in method builtins.sum}
10866/339    0.019    0.000    0.045    0.000 C:\Python38\lib\copy.py:128(deepcopy)
       33    0.002    0.000    0.044    0.001 C:\Python38\lib\site-packages\matplotlib\axes\_base.py:2384(_update_patch_limits)
      147    0.001    0.000    0.044    0.000 C:\Python38\lib\site-packages\tqdm\std.py:1151(__str__)
    17820    0.027    0.000    0.044    0.000 C:\Python38\lib\site-packages\thinc\backends\ops.py:763(as_contig)
     2716    0.006    0.000    0.043    0.000 C:\Python38\lib\http\cookiejar.py:640(request_path)
      299    0.001    0.000    0.043    0.000 C:\Python38\lib\socket.py:496(close)
     1604    0.001    0.000    0.043    0.000 spacy\vocab.pyx:167(get_by_orth)
      441    0.001    0.000    0.042    0.000 C:\Python38\lib\site-packages\tqdm\utils.py:377(disp_len)
     5432    0.008    0.000    0.042    0.000 C:\Python38\lib\http\cookiejar.py:670(escape_path)
        6    0.000    0.000    0.042    0.007 C:\Python38\lib\tkinter\__init__.py:2783(create_image)
        6    0.000    0.000    0.042    0.007 C:\Python38\lib\tkinter\__init__.py:2763(_create)
      126    0.001    0.000    0.042    0.000 C:\Python38\lib\site-packages\matplotlib\lines.py:1334(update_from)
      299    0.028    0.000    0.042    0.000 C:\Python38\lib\ssl.py:1298(_real_close)
      330    0.041    0.000    0.041    0.000 {method 'argmax' of 'numpy.ndarray' objects}
    11202    0.041    0.000    0.041    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      147    0.007    0.000    0.041    0.000 C:\Python38\lib\site-packages\tqdm\std.py:467(format_meter)
       38    0.001    0.000    0.041    0.001 <frozen importlib._bootstrap_external>:849(get_code)
      660    0.004    0.000    0.041    0.000 C:\Python38\lib\site-packages\thinc\layers\list2array.py:24(forward)
      267    0.001    0.000    0.041    0.000 C:\Python38\lib\site-packages\matplotlib\path.py:498(contains_point)
      441    0.001    0.000    0.041    0.000 C:\Python38\lib\site-packages\tqdm\utils.py:373(_text_width)
     3288    0.012    0.000    0.040    0.000 C:\Python38\lib\site-packages\matplotlib\cbook\__init__.py:301(process)
  961/438    0.006    0.000    0.040    0.000 C:\Python38\lib\copy.py:226(_deepcopy_dict)
     39/6    0.001    0.000    0.040    0.007 C:\Python38\lib\tkinter\__init__.py:2572(destroy)
      126    0.040    0.000    0.040    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.000    0.000    0.040    0.040 C:\Python38\lib\site-packages\matplotlib\backends\backend_tkagg.py:1(<module>)
        3    0.001    0.000    0.040    0.013 C:\Python38\lib\tkinter\__init__.py:2095(wm_iconphoto)
    12142    0.033    0.000    0.039    0.000 C:\Python38\lib\contextlib.py:82(__init__)
     5049    0.011    0.000    0.039    0.000 C:\Python38\lib\sre_parse.py:295(_class_escape)
        3    0.000    0.000    0.039    0.013 C:\Python38\lib\site-packages\pandas\core\groupby\groupby.py:1315(apply)
    31966    0.039    0.000    0.039    0.000 {method 'match' of 're.Pattern' objects}
        3    0.000    0.000    0.039    0.013 C:\Python38\lib\site-packages\matplotlib\axes\_base.py:818(_init_axis)
     1196    0.026    0.000    0.038    0.000 C:\Python38\lib\site-packages\urllib3\util\url.py:227(_encode_invalid_chars)
        3    0.000    0.000    0.038    0.013 C:\Python38\lib\site-packages\seaborn\categorical.py:1317(plot_errorbars)
        3    0.000    0.000    0.038    0.013 C:\Python38\lib\site-packages\pandas\core\groupby\groupby.py:1367(_python_apply_general)
    19202    0.038    0.000    0.038    0.000 {method 'reshape' of 'numpy.ndarray' objects}
  387/357    0.005    0.000    0.038    0.000 C:\Python38\lib\site-packages\pandas\core\series.py:368(__init__)
    33927    0.038    0.000    0.038    0.000 C:\Python38\lib\xml\dom\minidom.py:678(__init__)
      442    0.004    0.000    0.038    0.000 C:\Python38\lib\site-packages\pydantic\v1\fields.py:816(populate_validators)
    19926    0.017    0.000    0.038    0.000 C:\Python38\lib\site-packages\numpy\core\_ufunc_config.py:452(_no_nep50_warning)
       22    0.000    0.000    0.038    0.002 C:\Python38\lib\collections\__init__.py:540(__init__)
       22    0.000    0.000    0.038    0.002 C:\Python38\lib\collections\__init__.py:608(update)
        1    0.021    0.021    0.037    0.037 {built-in method _collections._count_elements}
    11942    0.016    0.000    0.037    0.000 C:\Python38\lib\_collections_abc.py:657(get)
        3    0.000    0.000    0.037    0.012 C:\Python38\lib\site-packages\confection\__init__.py:404(from_str)
     2640    0.005    0.000    0.037    0.000 thinc\backends\numpy_ops.pyx:535(check_seq2col_lengths)
     3270    0.012    0.000    0.037    0.000 C:\Python38\lib\typing.py:799(__getitem__)
       57    0.001    0.000    0.036    0.001 <frozen importlib._bootstrap>:890(_find_spec)
     2316    0.006    0.000    0.036    0.000 C:\Python38\lib\site-packages\numpy\core\fromnumeric.py:2523(cumsum)
     2093    0.007    0.000    0.036    0.000 C:\Python38\lib\site-packages\requests\sessions.py:61(merge_setting)
        1    0.000    0.000    0.036    0.036 C:\Python38\lib\site-packages\matplotlib\backends\_backend_tk.py:1(<module>)
     6930    0.008    0.000    0.036    0.000 <__array_function__ internals>:177(swapaxes)
      168    0.002    0.000    0.036    0.000 C:\Python38\lib\site-packages\matplotlib\font_manager.py:1201(findfont)
     5955    0.017    0.000    0.035    0.000 C:\Python38\lib\typing.py:255(inner)
       57    0.000    0.000    0.035    0.001 <frozen importlib._bootstrap_external>:1334(find_spec)
     3588    0.013    0.000    0.035    0.000 C:\Python38\lib\queue.py:153(get)
       57    0.001    0.000    0.035    0.001 <frozen importlib._bootstrap_external>:1302(_get_spec)
      299    0.002    0.000    0.034    0.000 C:\Python38\lib\site-packages\urllib3\_collections.py:240(__init__)
        3    0.000    0.000    0.034    0.011 C:\Python38\lib\site-packages\pandas\core\groupby\ops.py:750(apply)
        1    0.000    0.000    0.034    0.034 C:\Python38\lib\site-packages\spacy\util.py:1172(compile_suffix_regex)
        6    0.000    0.000    0.034    0.006 C:\Python38\lib\site-packages\seaborn\_base.py:849(iter_data)
       27    0.001    0.000    0.033    0.001 C:\Python38\lib\site-packages\PIL\Image.py:3189(open)
       45    0.000    0.000    0.033    0.001 C:\Python38\lib\site-packages\matplotlib\ticker.py:2134(__call__)
      183    0.004    0.000    0.033    0.000 C:\Python38\lib\site-packages\matplotlib\lines.py:728(draw)
       60    0.001    0.000    0.033    0.001 C:\Python38\lib\site-packages\matplotlib\backends\backend_agg.py:200(draw_text)
  534/267    0.002    0.000    0.033    0.000 C:\Python38\lib\site-packages\matplotlib\transforms.py:2375(frozen)
      299    0.002    0.000    0.033    0.000 C:\Python38\lib\ssl.py:1120(getpeercert)
      129    0.002    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     3300    0.016    0.000    0.033    0.000 thinc\backends\numpy_ops.pyx:304(hash)
        7    0.000    0.000    0.032    0.005 C:\Python38\lib\threading.py:834(start)
      147    0.001    0.000    0.032    0.000 C:\Python38\lib\site-packages\tqdm\std.py:454(fp_write)
11844/6262    0.016    0.000    0.032    0.000 C:\Python38\lib\site-packages\spacy\util.py:1207(_get_attr_unless_lookup)
       30    0.000    0.000    0.032    0.001 C:\Python38\lib\site-packages\matplotlib\axes\_axes.py:1443(plot)
        5    0.000    0.000    0.032    0.006 e:\Studium\Master\IWV\Iwv-Wortschatz\IWV_studentProject\performance_tracker.py:128(stopSystemMonitor)
        7    0.000    0.000    0.032    0.005 C:\Python38\lib\threading.py:540(wait)
        7    0.000    0.000    0.032    0.005 C:\Python38\lib\threading.py:270(wait)
        5    0.000    0.000    0.031    0.006 e:\Studium\Master\IWV\Iwv-Wortschatz\IWV_studentProject\performance_tracker.py:121(startSystemMonitor)
       33    0.001    0.000    0.031    0.001 C:\Python38\lib\site-packages\matplotlib\axis.py:1498(get_minorticklocs)
      296    0.000    0.000    0.031    0.000 C:\Python38\lib\site-packages\tqdm\utils.py:193(inner)
   379164    0.031    0.000    0.031    0.000 spacy\tokens\doc.pyx:67(bounds_check)
     1527    0.006    0.000    0.031    0.000 C:\Python38\lib\copy.py:258(_reconstruct)
       42    0.000    0.000    0.031    0.001 C:\Python38\lib\site-packages\matplotlib\axis.py:777(_set_scale)
        5    0.000    0.000    0.031    0.006 C:\Python38\lib\threading.py:979(join)
     5731    0.010    0.000    0.031    0.000 C:\Python38\lib\urllib\parse.py:787(quote)
       10    0.000    0.000    0.031    0.003 C:\Python38\lib\threading.py:1017(_wait_for_tstate_lock)
      660    0.031    0.000    0.031    0.000 spacy\pipeline\tagger.pyx:144(_scores2guesses)
      126    0.001    0.000    0.031    0.000 C:\Python38\lib\site-packages\matplotlib\backends\backend_agg.py:263(_prepare_font)
       45    0.001    0.000    0.031    0.001 C:\Python38\lib\site-packages\matplotlib\ticker.py:2138(tick_values)
    33927    0.026    0.000    0.031    0.000 C:\Python38\lib\xml\dom\expatbuilder.py:789(end_element_handler)
      299    0.031    0.000    0.031    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
    64033    0.022    0.000    0.031    0.000 C:\Python38\lib\site-packages\tqdm\utils.py:374(<genexpr>)
      229    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
31496/31490    0.010    0.000    0.030    0.000 {built-in method builtins.all}
       42    0.000    0.000    0.030    0.001 C:\Python38\lib\site-packages\matplotlib\scale.py:103(set_default_locators_and_formatters)
     3300    0.007    0.000    0.030    0.000 C:\Python38\lib\site-packages\thinc\backends\ops.py:629(reshape1f)
    28545    0.030    0.000    0.030    0.000 {method 'split' of 'str' objects}
      299    0.007    0.000    0.030    0.000 C:\Python38\lib\site-packages\urllib3\_collections.py:335(extend)
      156    0.001    0.000    0.030    0.000 C:\Python38\lib\site-packages\matplotlib\text.py:221(update)
      213    0.003    0.000    0.030    0.000 C:\Python38\lib\site-packages\matplotlib\text.py:185(_reset_visual_defaults)
     3314    0.011    0.000    0.030    0.000 C:\Python38\lib\queue.py:121(put)
     1032    0.015    0.000    0.029    0.000 spacy\tokens\doc.pyx:202(__init__)
    11516    0.027    0.000    0.029    0.000 spacy\tokenizer.pyx:539(find_prefix)
        9    0.000    0.000    0.029    0.003 C:\Python38\lib\site-packages\matplotlib\spines.py:142(get_window_extent)
    88771    0.014    0.000    0.029    0.000 spacy\tokens\doc.pyx:945(__pyx_fuse_0push_back)
        3    0.000    0.000    0.029    0.010 C:\Python38\lib\site-packages\seaborn\_base.py:967(comp_data)
    15840    0.018    0.000    0.029    0.000 stringsource:659(memoryview_cwrapper)
       30    0.000    0.000    0.029    0.001 C:\Python38\lib\site-packages\pandas\core\groupby\groupby.py:1338(f)
   149917    0.028    0.000    0.029    0.000 {method 'add' of 'set' objects}
       39    0.000    0.000    0.029    0.001 C:\Python38\lib\tkinter\__init__.py:1630(configure)
       45    0.004    0.000    0.029    0.001 C:\Python38\lib\site-packages\matplotlib\ticker.py:2074(_raw_ticks)
       39    0.000    0.000    0.029    0.001 C:\Python38\lib\tkinter\__init__.py:1617(_configure)
    80502    0.028    0.000    0.028    0.000 e:\Studium\Master\IWV\Iwv-Wortschatz\IWV_studentProject\studentcode.py:41(createUniqueKey)
    76548    0.021    0.000    0.028    0.000 C:\Python38\lib\os.py:734(check_str)
      276    0.001    0.000    0.028    0.000 C:\Python38\lib\site-packages\matplotlib\backend_bases.py:1261(_process)
       30    0.000    0.000    0.028    0.001 C:\Python38\lib\site-packages\seaborn\_statistics.py:482(__call__)
17034/14235    0.016    0.000    0.028    0.000 C:\Python38\lib\site-packages\matplotlib\artist.py:319(stale)
        2    0.007    0.003    0.028    0.014 C:\Python38\lib\site-packages\matplotlib\font_manager.py:1361(_findfont_cached)
     2716    0.008    0.000    0.027    0.000 C:\Python38\lib\http\cookiejar.py:1008(set_ok_domain)
      315    0.008    0.000    0.027    0.000 C:\Python38\lib\tkinter\__init__.py:1538(_substitute)
      867    0.017    0.000    0.027    0.000 C:\Python38\lib\site-packages\thinc\model.py:85(__init__)
      669    0.003    0.000    0.027    0.000 C:\Python38\lib\site-packages\matplotlib\transforms.py:809(from_extents)
    32288    0.014    0.000    0.027    0.000 C:\Python38\lib\site-packages\pydantic\v1\class_validators.py:341(<lambda>)
      441    0.002    0.000    0.027    0.000 C:\Python38\lib\site-packages\matplotlib\patches.py:876(get_bbox)
      897    0.005    0.000    0.026    0.000 C:\Python38\lib\site-packages\requests\cookies.py:521(cookiejar_from_dict)
      299    0.001    0.000    0.026    0.000 C:\Python38\lib\genericpath.py:39(isdir)
      598    0.005    0.000    0.026    0.000 C:\Python38\lib\site-packages\requests\adapters.py:135(__init__)
        3    0.000    0.000    0.026    0.009 C:\Python38\lib\site-packages\matplotlib\axis.py:2343(_update_label_position)
     5018    0.013    0.000    0.026    0.000 C:\Python38\lib\sre_parse.py:258(getwhile)
    26487    0.023    0.000    0.026    0.000 C:\Python38\lib\urllib\parse.py:110(_coerce_args)
       38    0.002    0.000    0.026    0.001 <frozen importlib._bootstrap_external>:969(get_data)
      156    0.000    0.000    0.026    0.000 C:\Python38\lib\site-packages\matplotlib\artist.py:1205(update)
     1467    0.004    0.000    0.026    0.000 C:\Python38\lib\site-packages\matplotlib\transforms.py:1835(frozen)
     2691    0.014    0.000    0.025    0.000 C:\Python38\lib\email\message.py:462(get)
     8148    0.008    0.000    0.025    0.000 C:\Python38\lib\site-packages\requests\cookies.py:49(get_full_url)
  476/322    0.004    0.000    0.025    0.000 C:\Python38\lib\site-packages\pydantic\v1\fields.py:583(_type_analysis)
      126    0.001    0.000    0.025    0.000 C:\Python38\lib\site-packages\matplotlib\font_manager.py:1271(_find_fonts_by_props)
    18198    0.019    0.000    0.025    0.000 C:\Python38\lib\xml\dom\minidom.py:389(_set_value)
     3300    0.018    0.000    0.025    0.000 C:\Python38\lib\site-packages\thinc\types.py:1179(__init__)
        6    0.000    0.000    0.025    0.004 C:\Python38\lib\site-packages\matplotlib\axis.py:1094(set_clip_path)
    74152    0.025    0.000    0.025    0.000 C:\Python38\lib\os.py:693(__iter__)
      299    0.001    0.000    0.025    0.000 C:\Python38\lib\site-packages\requests\models.py:611(prepare_cookies)
     1520    0.009    0.000    0.025    0.000 C:\Python38\lib\http\cookiejar.py:225(http2time)
     6262    0.018    0.000    0.024    0.000 C:\Python38\lib\site-packages\spacy\lang\lex_attrs.py:89(like_url)
    12981    0.007    0.000    0.024    0.000 C:\Python38\lib\abc.py:96(__instancecheck__)
     2052    0.004    0.000    0.024    0.000 C:\Python38\lib\site-packages\matplotlib\transforms.py:2511(composite_transform_factory)
     1750    0.017    0.000    0.024    0.000 spacy\pipeline\_parser_internals\nonproj.pyx:241(_find_new_head)
        2    0.000    0.000    0.024    0.012 C:\Python38\lib\site-packages\confection\__init__.py:477(from_disk)
    72476    0.024    0.000    0.024    0.000 {method 'startswith' of 'str' objects}
     2316    0.024    0.000    0.024    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
      504    0.023    0.000    0.024    0.000 C:\Python38\lib\site-packages\requests\models.py:906(text)
      299    0.002    0.000    0.023    0.000 C:\Python38\lib\site-packages\requests\cookies.py:140(get_cookie_header)
      897    0.003    0.000    0.023    0.000 C:\Python38\lib\site-packages\requests\cookies.py:35(__init__)
        6    0.000    0.000    0.023    0.004 C:\Python38\lib\site-packages\matplotlib\axis.py:655(__init__)
     2716    0.002    0.000    0.023    0.000 C:\Python38\lib\site-packages\requests\cookies.py:94(origin_req_host)
     9131    0.013    0.000    0.023    0.000 C:\Python38\lib\enum.py:278(__call__)
    12977    0.011    0.000    0.023    0.000 C:\Python38\lib\site-packages\matplotlib\__init__.py:756(__getitem__)
       48    0.000    0.000    0.023    0.000 C:\Python38\lib\site-packages\matplotlib\patches.py:582(draw)
     3300    0.022    0.000    0.022    0.000 thinc\backends\numpy_ops.pyx:165(maxout)
     6262    0.012    0.000    0.022    0.000 C:\Python38\lib\site-packages\spacy\lang\lex_attrs.py:39(like_num)
     5392    0.010    0.000    0.022    0.000 C:\Python38\lib\copy.py:66(copy)
      105    0.001    0.000    0.022    0.000 C:\Python38\lib\site-packages\matplotlib\artist.py:778(set_clip_path)
       21    0.001    0.000    0.022    0.001 C:\Python38\lib\site-packages\seaborn\_base.py:1475(variable_type)
     1495    0.006    0.000    0.022    0.000 C:\Python38\lib\site-packages\urllib3\util\url.py:303(_normalize_host)
    16445    0.009    0.000    0.022    0.000 C:\Python38\lib\re.py:268(escape)
        3    0.000    0.000    0.022    0.007 C:\Python38\lib\site-packages\seaborn\categorical.py:51(__init__)
     5679    0.022    0.000    0.022    0.000 {method 'copy' of 'numpy.ndarray' objects}
    11557    0.005    0.000    0.021    0.000 C:\Python38\lib\email\_policybase.py:311(header_fetch_parse)
      345    0.002    0.000    0.021    0.000 C:\Python38\lib\site-packages\matplotlib\transforms.py:1475(transform)
     2716    0.002    0.000    0.021    0.000 C:\Python38\lib\site-packages\requests\cookies.py:46(get_origin_req_host)
     3300    0.021    0.000    0.021    0.000 thinc\backends\numpy_ops.pyx:460(gather_add)
       44    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
   263115    0.021    0.000    0.021    0.000 spacy\pipeline\trainable_pipe.pxd:8(__get__)
        3    0.000    0.000    0.021    0.007 C:\Python38\lib\site-packages\matplotlib\backends\backend_tkagg.py:13(blit)
        3    0.000    0.000    0.021    0.007 C:\Python38\lib\site-packages\matplotlib\backends\_backend_tk.py:69(blit)
     6930    0.006    0.000    0.021    0.000 C:\Python38\lib\site-packages\numpy\core\fromnumeric.py:550(swapaxes)
     1495    0.004    0.000    0.021    0.000 C:\Python38\lib\site-packages\urllib3\connection.py:305(putheader)
      299    0.001    0.000    0.021    0.000 C:\Python38\lib\site-packages\urllib3\connectionpool.py:260(_get_conn)
     1196    0.018    0.000    0.021    0.000 C:\Python38\lib\http\cookiejar.py:1386(_normalized_cookie_tuples)
    24420    0.021    0.000    0.021    0.000 C:\Python38\lib\site-packages\thinc\backends\_param_server.py:38(has_param)
    33907    0.021    0.000    0.021    0.000 C:\Python38\lib\sre_parse.py:233(__next)
        3    0.000    0.000    0.021    0.007 C:\Python38\lib\site-packages\matplotlib\backends\_backend_tk.py:57(_blit)
     3300    0.005    0.000    0.021    0.000 C:\Python38\lib\site-packages\thinc\backends\ops.py:632(reshape2f)
        3    0.020    0.007    0.020    0.007 {built-in method matplotlib.backends._tkagg.blit}
     1518    0.002    0.000    0.020    0.000 C:\Python38\lib\site-packages\matplotlib\transforms.py:1343(__add__)
     1196    0.011    0.000    0.020    0.000 C:\Python38\lib\email\message.py:497(get_all)
        3    0.000    0.000    0.020    0.007 C:\Python38\lib\site-packages\seaborn\_base.py:1027(_attach)
        6    0.000    0.000    0.020    0.003 C:\Python38\lib\tkinter\__init__.py:1948(wm_attributes)
       42    0.000    0.000    0.020    0.000 C:\Python38\lib\site-packages\matplotlib\ticker.py:427(__init__)
    14327    0.012    0.000    0.020    0.000 C:\Python38\lib\site-packages\pydantic\v1\main.py:506(_enforce_dict_if_root)
      299    0.001    0.000    0.020    0.000 C:\Python38\lib\http\client.py:1214(endheaders)
      261    0.001    0.000    0.020    0.000 C:\Python38\lib\site-packages\matplotlib\backend_bases.py:3148(mouse_move)
      141    0.004    0.000    0.020    0.000 C:\Python38\lib\site-packages\matplotlib\lines.py:656(recache)
    60500    0.020    0.000    0.020    0.000 C:\Python38\lib\site-packages\catalogue\__init__.py:112(<genexpr>)
       38    0.020    0.001    0.020    0.001 {built-in method io.open_code}
42114/42105    0.019    0.000    0.020    0.000 {built-in method builtins.hasattr}
      376    0.000    0.000    0.019    0.000 C:\Python38\lib\site-packages\pydantic\v1\class_validators.py:281(prep_validators)
     2716    0.003    0.000    0.019    0.000 C:\Python38\lib\site-packages\requests\cookies.py:43(get_host)
      660    0.002    0.000    0.019    0.000 C:\Python38\lib\site-packages\spacy\ml\staticvectors.py:49(<listcomp>)
       42    0.001    0.000    0.019    0.000 C:\Python38\lib\site-packages\matplotlib\ticker.py:533(set_useMathText)
      299    0.001    0.000    0.019    0.000 C:\Python38\lib\http\client.py:995(_send_output)
  549/516    0.003    0.000    0.019    0.000 C:\Python38\lib\inspect.py:2206(_signature_from_callable)
        3    0.000    0.000    0.019    0.006 C:\Python38\lib\site-packages\matplotlib\axis.py:2282(__init__)
     5731    0.012    0.000    0.019    0.000 C:\Python38\lib\urllib\parse.py:858(quote_from_bytes)
      376    0.000    0.000    0.019    0.000 C:\Python38\lib\site-packages\pydantic\v1\class_validators.py:282(<listcomp>)
       42    0.000    0.000    0.019    0.000 C:\Python38\lib\site-packages\matplotlib\axis.py:1494(get_majorticklocs)
     7064    0.011    0.000    0.019    0.000 C:\Python38\lib\email\_policybase.py:293(header_source_parse)
        1    0.000    0.000    0.019    0.019 C:\Python38\lib\tkinter\__init__.py:1(<module>)
      598    0.003    0.000    0.019    0.000 C:\Python38\lib\site-packages\requests\utils.py:836(select_proxy)
      147    0.000    0.000    0.019    0.000 C:\Python38\lib\site-packages\tqdm\utils.py:385(disp_trim)
        6    0.000    0.000    0.019    0.003 <frozen importlib._bootstrap_external>:1099(create_module)
      142    0.016    0.000    0.019    0.000 {srsly.msgpack._unpacker.unpackb}
        6    0.019    0.003    0.019    0.003 {built-in method _imp.create_dynamic}
      342    0.004    0.000    0.019    0.000 C:\Python38\lib\site-packages\pydantic\v1\class_validators.py:242(make_generic_validator)
      299    0.004    0.000    0.019    0.000 C:\Python38\lib\site-packages\requests\models.py:659(__init__)
33330/32732    0.014    0.000    0.019    0.000 {method 'encode' of 'str' objects}
      299    0.005    0.000    0.018    0.000 C:\Python38\lib\site-packages\requests\models.py:484(prepare_headers)
      330    0.002    0.000    0.018    0.000 C:\Python38\lib\xml\dom\expatbuilder.py:346(first_element_handler)
    24420    0.018    0.000    0.018    0.000 C:\Python38\lib\site-packages\thinc\backends\_param_server.py:44(get_param)
  615/411    0.004    0.000    0.018    0.000 C:\Python38\lib\site-packages\matplotlib\transforms.py:2444(get_affine)
        3    0.002    0.001    0.018    0.006 C:\Python38\lib\site-packages\confection\__init__.py:230(interpret_config)
      486    0.001    0.000    0.018    0.000 C:\Python38\lib\inspect.py:3091(signature)
       45    0.001    0.000    0.018    0.000 C:\Python38\lib\site-packages\matplotlib\axis.py:2782(get_tick_space)
     9224    0.014    0.000    0.018    0.000 C:\Python38\lib\typing.py:717(__hash__)
     3574    0.018    0.000    0.018    0.000 {built-in method numpy.array}
     1196    0.004    0.000    0.017    0.000 C:\Python38\lib\email\message.py:564(get_content_type)
     1059    0.010    0.000    0.017    0.000 C:\Python38\lib\site-packages\matplotlib\cbook\__init__.py:1736(normalize_kwargs)
     2865    0.007    0.000    0.017    0.000 C:\Python38\lib\site-packages\matplotlib\transforms.py:1889(__init__)
   3625/7    0.008    0.000    0.017    0.002 C:\Python38\lib\site-packages\thinc\util.py:342(convert_recursive)
      762    0.003    0.000    0.017    0.000 C:\Python38\lib\site-packages\urllib3\response.py:1010(_handle_chunk)
    12981    0.012    0.000    0.017    0.000 {built-in method _abc._abc_instancecheck}
      486    0.000    0.000    0.017    0.000 C:\Python38\lib\inspect.py:2839(from_callable)
        1    0.000    0.000    0.017    0.017 C:\Python38\lib\site-packages\confection\__init__.py:222(interpolate)
     6608    0.011    0.000    0.017    0.000 C:\Python38\lib\threading.py:341(notify)
      299    0.002    0.000    0.017    0.000 C:\Python38\lib\site-packages\requests\utils.py:76(proxy_bypass_registry)
      299    0.001    0.000    0.017    0.000 C:\Python38\lib\http\client.py:936(send)
    96095    0.017    0.000    0.017    0.000 C:\Python38\lib\xml\dom\minidom.py:1007(_set_data)
      261    0.001    0.000    0.017    0.000 C:\Python38\lib\site-packages\matplotlib\backends\_backend_tk.py:703(set_message)
   235/28    0.001    0.000    0.017    0.001 C:\Python38\lib\site-packages\thinc\util.py:363(<listcomp>)
     2093    0.006    0.000    0.017    0.000 C:\Python38\lib\site-packages\requests\utils.py:340(to_key_val_list)
     3300    0.017    0.000    0.017    0.000 {built-in method numpy.ascontiguousarray}
     3300    0.005    0.000    0.017    0.000 C:\Python38\lib\site-packages\thinc\backends\ops.py:635(reshape3f)
   110309    0.017    0.000    0.017    0.000 {built-in method builtins.id}
    75341    0.017    0.000    0.017    0.000 e:\Studium\Master\IWV\Iwv-Wortschatz\IWV_studentProject\studentcode.py:70(<genexpr>)
     2716    0.007    0.000    0.017    0.000 C:\Python38\lib\site-packages\requests\cookies.py:349(set_cookie)
     6262    0.011    0.000    0.017    0.000 C:\Python38\lib\site-packages\spacy\lang\lex_attrs.py:32(is_ascii)
      598    0.017    0.000    0.017    0.000 C:\Python38\lib\socket.py:219(__init__)
       30    0.000    0.000    0.017    0.001 C:\Python38\lib\site-packages\matplotlib\axes\_base.py:2295(add_line)
    11557    0.008    0.000    0.017    0.000 C:\Python38\lib\email\_policybase.py:281(_sanitize_header)
     2716    0.007    0.000    0.016    0.000 C:\Python38\lib\http\cookiejar.py:543(domain_match)
        3    0.000    0.000    0.016    0.005 C:\Python38\lib\configparser.py:720(read_string)
        3    0.000    0.000    0.016    0.005 C:\Python38\lib\configparser.py:705(read_file)
      345    0.001    0.000    0.016    0.000 C:\Python38\lib\site-packages\matplotlib\transforms.py:2421(transform_affine)
        3    0.007    0.002    0.016    0.005 C:\Python38\lib\configparser.py:993(_read)
     6637    0.007    0.000    0.016    0.000 {built-in method builtins.any}
      273    0.001    0.000    0.016    0.000 C:\Python38\lib\tkinter\__init__.py:363(set)
      702    0.006    0.000    0.016    0.000 spacy\matcher\phrasematcher.pyx:158(add)
      299    0.005    0.000    0.016    0.000 C:\Python38\lib\site-packages\urllib3\connectionpool.py:1048(_new_conn)
      849    0.001    0.000    0.016    0.000 C:\Python38\lib\site-packages\matplotlib\font_manager.py:894(copy)
      299    0.003    0.000    0.016    0.000 C:\Python38\lib\ssl.py:1193(sendall)
      299    0.002    0.000    0.016    0.000 C:\Python38\lib\site-packages\urllib3\connection.py:285(putrequest)
     2988    0.003    0.000    0.016    0.000 C:\Python38\lib\site-packages\matplotlib\artist.py:417(pchanged)
4444/4363    0.010    0.000    0.016    0.000 {built-in method numpy.asarray}
      273    0.016    0.000    0.016    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
     2716    0.010    0.000    0.016    0.000 C:\Python38\lib\http\cookiejar.py:754(__init__)
